,Ceará - Desemprego,Ceará - Consumo de Cimento (t),Ceará - value, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Ceará - IDH,Ceará - PIB - Estadual,Ceará - PIB - Construção Civil,Ceará - PIB - Per Capita,Ceará - PIB - Preços de Mercado,Ceará - Produção de Cimento (t)
2003-1,8.27445922175993,81.265,0.3013763424750394,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6114984011933968,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,1.4340107161167608,1009.5669551785276,2194.2266245590854,27.0660621235215,21.47468559535318,72.36400090408344,3.070554425150088,0.6840404850485825,69653520.24417323,4525723.594445789,7.532751262130655,62938208.50048655,107.673
2003-2,8.268511856479037,65.2,0.3013929691569499,0.6902970479188117,-5318.079644051534,11.189861881849811,1.4503889427633918,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,1.43433923406959,1009.5653993250444,2194.2266245590854,27.066711459731604,21.474875682932144,72.36316495799026,3.0690356868887427,0.6844759997704507,69743541.64072639,4530358.82907836,7.535807885983135,62971782.35180053,107.23796153846152
2003-3,8.262564491198145,55.165,0.3013089442402712,0.6696806488591152,-5436.417870121553,10.82079163233486,1.870184311511264,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,1.434530869542074,1009.564491743846,2194.2266245590854,27.067090239187493,21.47498656735321,72.36267732276926,3.0681497562362914,0.684911514492319,69833563.03727955,4534994.06371093,7.538864509835614,63005356.20311452,108.74218376068374
2003-4,8.25661712591725,53.928,0.3009168627319151,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3552874765398468,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,1.434551401914126,1009.5643945030032,2194.2266245590854,27.067130822700623,21.47499844782689,72.36262507613843,3.068054835094957,0.6853470292141872,69923584.43383269,4539629.2983435,7.541921133688094,63038930.054428495,109.39111233211231
2003-5,8.250669760636358,65.334,0.3004174954473406,0.6483369045565663,-5599.317940972945,9.959689613256948,1.5855384957135032,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,1.6958720044408298,1009.2721519055876,2621.020212223332,27.00991321801532,21.671734387212886,73.52414508489964,2.9512621041385683,0.6857825439360554,70013605.83038585,4544264.5329760695,7.544977757540574,63072503.90574248,111.60245715969852
2003-6,8.244722395355465,64.323,0.2993993850832381,0.6327588982490451,-5720.383331634745,9.432414860416127,1.7078914536714904,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,1.927813109065161,1009.008276696915,3057.334790227318,26.9599405065015,21.860755676718856,74.6159898010635,2.841884842315729,0.6862180586579237,70103627.22693901,4548899.76760864,7.548034381393053,63106077.75705646,112.34415715969853
2003-7,8.23877503007457,80.404,0.2982675053624252,0.6380135035998685,-5884.375046061743,8.822929754380787,1.5982839320937383,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,2.184887561417751,1008.7162511731364,3558.624603273241,26.90504335975438,22.075812402756306,75.84927451564981,2.7190940159772703,0.6866535733797919,70193648.62349215,4553535.00224121,7.551091005245533,63139651.60837044,113.05806038550496
2003-8,8.232827664793678,78.62,0.2970232044092202,0.6346344548960355,-5959.855464930735,8.332469749880811,1.7218082520903182,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,2.444666003133725,1008.4222234616498,4086.427416553125,26.85029176284123,22.300180869765143,77.12464842068854,2.5931054204342106,0.6870890881016601,70283670.02004531,4558170.23687378,7.554147629098012,63173225.45968442,113.41537288550498
2003-9,8.226880299512786,79.494,0.2960719690637607,0.6323269495840285,-6014.809970017429,7.939983702859978,1.6351282376087797,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,2.684719075848208,1008.152341689853,4602.280995258996,26.80075570082932,22.517137382185307,78.34276070820965,2.4741348509975696,0.6875246028235285,70373691.41659847,4562805.471506351,7.557204252950492,63206799.3109984,113.3905850067171
2003-10,8.220932934231893,85.605,0.2952195976370874,0.629038170305887,-6121.266757398654,7.604976000172705,1.8119435424411887,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,2.882617421196324,1007.932753985144,5067.723104582876,26.76150515878593,22.70995824445672,79.4042605702431,2.372398102978368,0.6879601175453967,70463712.81315163,4567440.70613892,7.560260876802972,63240373.16231239,113.88202618318768
2003-11,8.214985568951,84.457,0.2946719580907312,0.6315074373857803,-6097.745583517717,7.313008932848318,1.6375042967189617,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965,3.015931680813199,1007.7896084749208,5444.29150971679,26.737610121778324,22.861919761019298,80.20979719881883,2.2981109716876227,0.6883956322672649,70553734.20970479,4572075.94077149,7.563317500655451,63273947.01362637,113.61505475461628
2003-12,8.209038203670106,94.777,0.2942351525405588,0.6292469617617195,-6082.10009002275,7.034262103245153,1.7623760541706297,0.8211746264022252,179203287.3317393,7391919.967637314,0.8169855326871092,3.062232496333957,1007.7490532865816,5693.523975852766,26.734140574873777,22.95629823631297,80.66001978596684,2.261489252436355,0.6888311469891332,70643755.60625793,4576711.175404061,7.566374124507931,63307520.86494035,113.87391586572738
2004-1,8.203090838389214,75.575,0.2937113550986691,0.6279521987366027,-6360.043009879893,6.775421109777445,1.3607725559131063,0.8146624868021721,179384775.903975,7397520.947074695,0.8183674345886709,3.153533551728643,1007.7474439964158,5227.160875831419,26.71551944289952,22.96689780697689,80.81236250154492,2.263923978031145,0.6892666617110014,70733777.00281109,4581346.410036631,7.569430748360411,63341094.71625433,113.76237532518684
2004-2,8.200760459952757,53.065,0.2930985541520122,0.6179234500456987,-6312.09879505444,6.535527586437412,1.2915557727587674,0.7877508194696684,179558325.62127495,7402970.507331404,0.813175865272952,2.684815603010693,1008.102269265233,6690.602430080236,26.841446862254354,22.937583290847854,80.0787603510073,2.3368944081386727,0.6896610679230201,70818281.77679591,4585401.2647099765,7.572350308699578,63370880.697526135,113.19053321992368
2004-3,8.198430081516301,67.755,0.2923947104629859,0.6110282002564377,-6382.974247910342,6.304693993612522,1.3153702879685611,0.7462153668542578,179731875.3385749,7408420.067588114,0.7940584078254243,2.348259250006973,1008.6360539874552,4738.756156367499,26.92366956340378,22.706939053938537,78.66981079800603,2.498593162927944,0.6900554741350389,70902786.55078073,4589456.119383321,7.575269869038745,63400666.67879793,114.1854819378724
2004-4,8.196099703079845,64.858,0.2926389029530582,0.602215193421453,-6659.524121320398,6.092845857236326,1.2716511611761512,0.7161196882161044,179905425.05587482,7413869.627844823,0.7742123337341686,2.014372558317422,1009.059813108039,4706.715593988702,27.003637401345404,22.42378381200305,77.02955542166194,2.6883915500247184,0.6904498803470576,70987291.32476553,4593510.974056667,7.578189429377913,63430452.66006973,113.9997569378724
2004-5,8.19376932464339,72.377,0.2928302088890006,0.5930166849467975,-6639.092352241397,5.906435456003245,1.3496753218264288,0.6877653033067546,180078974.77317473,7419319.188101534,0.7850618617376672,1.7275514226127135,1009.7854893341744,4652.906646237595,27.109923357774694,21.9244719880923,74.38026104107446,2.98289018166128,0.6908442865590763,71071796.09875035,4597565.828730011,7.58110898971708,63460238.64134153,114.70636669396995
2004-6,8.191438946206933,70.882,0.2929677058059641,0.574475450988554,-6748.885395968077,5.749095649630231,1.5103056439741145,0.6580265037168356,180252524.49047467,7424768.748358243,0.7615174276282071,1.6036845509031996,1010.1645799763838,2553.3416033268795,27.093010885808575,21.433867506029426,72.34809575307074,3.2354140274435683,0.691238692771095,71156300.87273517,4601620.683403357,7.584028550056248,63490024.62261333,115.10134288444615
2004-7,8.189108567770477,85.304,0.2932545534718853,0.5593363966337657,-6784.497815846861,5.627047610968012,1.3540905935347418,0.6207840323429428,180426074.2077746,7430218.308614952,0.7524273421975352,1.4023520523071482,1010.0622678288728,2203.717481310324,27.1896644848618,21.142526191709585,70.64052483779324,3.4635608636954167,0.6916330989831136,71240805.64671999,4605675.538076703,7.586948110395415,63519810.60388513,116.002924279795
2004-8,8.18677818933402,82.452,0.2934941659689667,0.5366506165950669,-6905.605509166634,5.503636763429107,1.434760472048315,0.5909034137973287,180599623.9250745,7435667.868871663,0.7295497751500113,1.0217489431825928,1009.9023002429092,1860.428868161477,27.23346344482139,20.930008942061924,69.55683524081456,3.577644511168088,0.6920275051951325,71325310.42070481,4609730.392750047,7.589867670734583,63549596.58515693,116.61833337070408
2004-9,8.184447810897565,80.106,0.2936859726037376,0.521373108360619,-6995.222858870797,5.379865840264738,1.2837775896757788,0.5537026055994817,180773173.6423745,7441117.429128372,0.7095428699539044,1.1185242766446604,1009.403038494848,1393.961110428519,27.27406949796324,20.96383324961826,69.48446988071598,3.572757264845712,0.6924219114071511,71409815.19468963,4613785.247423393,7.592787231073751,63579382.566428736,117.13931114848184
2004-10,8.182117432461109,79.744,0.293833668776113,0.5156158255655208,-7120.238857990881,5.253056293059425,1.1406245002546846,0.5450174136197448,180946723.3596744,7446566.989385082,0.6959159305043552,0.9217941711225428,1008.8966108459242,1338.6065370376891,27.45649735397509,21.162893896039808,69.51774478169551,3.5045660273829355,0.6928163176191698,71494319.96867445,4617840.102096737,7.595706791412918,63609168.54770053,117.47768071369926
