,Acre - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Acre - Desemprego,Acre - IDH,Acre - PIB - Estadual,Acre - PIB - Construção Civil,Acre - PIB - Per Capita,Acre - PIB - Preços de Mercado
2003-1,3.26,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6114984011933968,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,1.7461100010467043,982.311732224834,1228.219667453939,22.62594166289624,17.406830543950797,79.78417894675411,1.371080241943052,8.722906022641007,0.6913196105136911,7285706.872941417,413409.2550318821,9.31841697787915,6587220.475573105
2003-2,2.191,0.6902970479188117,-5318.079644051534,11.189861881849811,1.4503889427633918,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,1.7491459559140226,982.32215745222,1228.473197800654,22.63585066144069,17.4137016155495,79.76558507176725,1.371488539019711,8.718027644539344,0.6916169826942586,7294880.829876093,413607.8435604468,9.319989882660902,6590337.579387951
2003-3,2.154,0.6696806488591152,-5436.417870121553,10.82079163233486,1.870184311511264,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,1.7509169295866247,982.3282388348616,1228.6210905029047,22.641630910591623,17.41770974064874,79.7547386446916,1.371726712314428,8.713149266437682,0.6919143548748261,7304054.78681077,413806.43208901136,9.321562787442655,6593454.683202797
2003-4,2.643,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3552874765398468,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,1.7511066767658323,982.3288904115732,1228.6369361495745,22.64225022300065,17.418139182623662,79.75357652750492,1.3717522308817192,8.70827088833602,0.6922117270553937,7313228.743745446,414005.020617576,9.323135692224406,6596571.787017643
2003-5,2.546,0.6483369045565663,-5599.317940972945,9.959689613256948,1.5855384957135032,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,1.7584615869325386,982.3135598984476,1229.5879563847898,22.6651776373252,17.45224137683634,79.78763743775598,1.384556956352879,8.703392510234357,0.6925090992359612,7322402.700680124,414203.60914614063,9.32470859700616,6599688.890832489
2003-6,3.04,0.6327588982490451,-5720.383331634745,9.432414860416127,1.7078914536714904,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,1.7666884686882656,982.2912362154578,1230.3352149340722,22.688338254304018,17.491020862282486,79.84139303069405,1.3982570265303875,8.698514132132694,0.6928064714165287,7331576.6576148,414402.1976747053,9.326281501787912,6602805.994647335
2003-7,4.963,0.6380135035998685,-5884.375046061743,8.822929754380787,1.5982839320937383,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,1.7770354236991004,982.260402565268,1231.222787073379,22.716916390083757,17.540773918949856,79.91590109295166,1.4158618408384958,8.693635754031032,0.6931038435970962,7340750.614549477,414600.78620326985,9.327854406569664,6605923.098462181
2003-8,2.924,0.6346344548960355,-5959.855464930735,8.332469749880811,1.7218082520903182,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,1.7894105703119207,982.2215211230988,1232.2423049249246,22.75067782049905,17.6010557751521,80.01032482843046,1.437176234591176,8.68875737592937,0.6934012157776638,7349924.571484153,414799.37473183445,9.329427311351417,6609040.202277027
2003-9,5.276,0.6323269495840285,-6014.809970017429,7.939983702859978,1.6351282376087797,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,1.803722026873604,982.1750540641722,1233.3854006109216,22.78938832138454,17.67142165920289,80.12382744103209,1.4620050431024,8.683878997827707,0.6936985879582314,7359098.52841883,414997.9632603991,9.33100021613317,6612157.306091873
2003-10,5.262,0.629038170305887,-6121.266757398654,7.604976000172705,1.8119435424411887,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,1.8198779117310264,982.121463563709,1234.6437062535836,22.832813668574865,17.75142679941587,80.25557213465824,1.4901531016861405,8.679000619726043,0.6939959601387988,7368272.485353507,415196.5517889637,9.332573120914924,6615274.409906719
