,Minas Gerais - IDH,Minas Gerais - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Minas Gerais - value,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Minas Gerais - Produção de Cimento (t),Minas Gerais - Desemprego,Minas Gerais - PIB - Estadual,Minas Gerais - PIB - Construção Civil,Minas Gerais - PIB - Per Capita,Minas Gerais - PIB - Preços de Mercado
2003-1,0.7565371148204723,247.134,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6114984011933968,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,0.3345360459481215,1.881651030020544,889.3966448252688,1304.1964487837097,18.796583221326166,16.168038754480285,85.63495183691757,0.3,648.89116,8.242461537567124,293775203.7644595,17250773.822793443,14.096054158781325,275911748.7069836
2003-2,0.756708211319166,305.708,0.6902970479188117,-5318.079644051534,11.189861881849811,1.4503889427633918,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,0.3356703978945113,1.872777185767229,889.4506098790322,1289.3944162235475,18.293639672939072,15.115444668458782,83.1297099014337,0.3,652.3963138461539,8.236470415606963,294147980.8001445,17269592.65609134,14.102603076736544,276064795.0573721
2003-3,0.7568793078178597,284.168,0.6696806488591152,-5436.417870121553,10.82079163233486,1.870184311511264,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,0.3365530144162337,1.6389969992235929,889.5844061753284,1285.306736539698,18.099368839605734,14.14824559438471,79.65552008661889,0.3,655.9115731054131,8.230479293646802,294520757.8358295,17288411.489389233,14.109151994691768,276217841.4077607
2003-4,0.7570504043165535,286.594,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3552874765398468,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,0.33653098238474,1.3392603303624997,890.048010245989,1258.4004326390018,17.617245183691757,13.127517867810209,77.29520902671105,0.3809139784946236,656.7464302482704,8.224488171686641,294893534.8715145,17307230.32268713,14.11570091264699,276370887.75814927
2003-5,0.7572215008152472,312.455,0.6483369045565663,-5599.317940972945,9.959689613256948,1.5855384957135032,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,0.3364055318384156,1.2041232175311904,890.2323939719214,1261.3658928023483,17.00505216062041,12.074203003667623,74.99132678784191,0.5747307006378098,660.1146716275807,8.218497049726482,295266311.9071995,17326049.155985028,14.122249830602213,276523934.1085378
2003-6,0.7573925973139409,299.651,0.6327588982490451,-5720.383331634745,9.432414860416127,1.7078914536714904,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,0.335765690691913,0.9997019158750692,890.4018856629737,1268.7932833132418,16.946477601736802,11.802539229478803,73.73063013954295,0.8999982010243465,661.4202382942473,8.21250592776632,295639088.9428845,17344867.98928292,14.128798748557434,276676980.4589263
2003-7,0.7575636938126347,340.885,0.6380135035998685,-5884.375046061743,8.822929754380787,1.5982839320937383,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,0.3356249559233373,0.8986225404138024,890.1869854911691,1298.7152801377772,17.161562661223087,11.46956425130034,71.83712629634496,1.3721948906470705,666.4659479716668,8.20651480580616,296011865.9785695,17363686.822580818,14.135347666512656,276830026.8093149
2003-8,0.7577347903113284,322.275,0.6346344548960355,-5959.855464930735,8.332469749880811,1.7218082520903182,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,0.3343562234594034,0.9618951003134284,889.084205076569,1332.3602245840068,17.675296155490695,12.168394814575464,72.4391223836951,1.968942602092967,668.8839167216668,8.200523683845999,296384643.01425457,17382505.655878715,14.141896584467878,276983073.1597035
2003-9,0.7579058868100221,345.219,0.6323269495840285,-6014.809970017429,7.939983702859978,1.6351282376087797,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,0.3323442108107594,1.102089804646082,888.6187466605008,1328.871239653178,18.54508715387408,13.157759834333705,73.33576845808572,2.3487644570865918,673.6921894489394,8.194532561885838,296757420.0499396,17401324.48917661,14.1484455024231,277136119.510092
2003-10,0.7580769833087159,352.678,0.629038170305887,-6121.266757398654,7.604976000172705,1.8119435424411887,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,0.330185600544828,1.141141416527854,887.8009047289091,1330.2960721589436,19.286756259152668,13.954702089975564,73.93522583458811,2.627698518870723,677.8824541548217,8.188541439925679,297130197.0856246,17420143.322474506,14.154994420378324,277289165.86048055
2003-11,0.7582480798074096,295.72,0.6315074373857803,-6097.745583517717,7.313008932848318,1.6375042967189617,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965,0.3301422902783782,1.776916183453619,887.3904087963487,1315.8884983731791,19.65880121662085,15.187229128719869,77.19352248199773,2.702767689912327,679.8870827262504,8.182550317965518,297502974.1213096,17438962.155772403,14.161543338333544,277442212.21086913
2003-12,0.7584191763061033,270.978,0.6292469617617195,-6082.10009002275,7.034262103245153,1.7623760541706297,0.8211746264022252,179203287.3317393,7391919.967637314,0.8169855326871092,0.330036767034962,2.163228952145725,887.6429517205362,1294.4197300221067,20.02428238609445,15.667842735767342,77.85735975135741,2.579383815635982,684.3133049484726,8.176559196005357,297875751.1569946,17457780.989070296,14.168092256288768,277595258.5612577
2004-1,0.7585902728047971,249.68,0.6279521987366027,-6360.043009879893,6.775421109777445,1.3607725559131063,0.8146624868021721,179384775.903975,7397520.947074695,0.8183674345886709,0.3300595492696466,2.430690577340583,887.7059936212851,1276.678429914493,20.016321882292036,15.872924079057125,78.75533872076078,2.4991155900307995,691.6020617052293,8.170568074045196,298248528.1926796,17476599.822368193,14.17464117424399,277748304.91164625
2004-2,0.7587509418921511,219.561,0.6179234500456987,-6312.09879505444,6.535527586437412,1.2915557727587674,0.7877508194696684,179558325.62127495,7402970.507331404,0.813175865272952,0.3306173036766531,2.546668642784873,888.263450636632,1227.6870466107864,19.71348909112761,15.712758403150186,79.28100384889298,2.400850286832469,696.2192459157556,8.16863015239404,298575535.0132668,17495129.96878153,14.17911752753992,277852009.83589906
2004-3,0.7589116109795052,304.641,0.6110282002564377,-6382.974247910342,6.304693993612522,1.3153702879685611,0.7462153668542578,179731875.3385749,7408420.067588114,0.7940584078254243,0.3313371134350217,2.4058828277526287,889.1760088852988,1218.3766487887085,19.080353710857363,15.087536052644612,79.22646848313472,2.312529026731844,703.7686305311402,8.166692230742887,298902541.833854,17513660.11519487,14.183593880835849,277955714.7601519
2004-4,0.7590722800668592,262.564,0.602215193421453,-6659.524121320398,6.092845857236326,1.2716511611761512,0.7161196882161044,179905425.05587482,7413869.627844823,0.7742123337341686,0.331732900196302,2.1639619340175718,890.0189513834906,1154.5982020663023,18.19260737169139,14.2775613651939,79.47130659689094,2.258450692833096,708.0032805311401,8.164754309091732,299229548.65444124,17532190.261608206,14.18807023413178,278059419.68440473
2004-5,0.7592329491542132,299.209,0.5930166849467975,-6639.092352241397,5.906435456003245,1.3496753218264288,0.6877653033067546,180078974.77317473,7419319.188101534,0.7850618617376672,0.3320590995496532,1.7116808471153715,890.8562041180812,1185.4683703893627,17.453804566458334,13.2231681218717,77.85701266375864,2.269836442286164,715.4832561408963,8.162816387440577,299556555.4750285,17550720.408021543,14.192546587427708,278163124.6086576
2004-6,0.7593936182415674,303.866,0.574475450988554,-6748.885395968077,5.749095649630231,1.5103056439741145,0.6580265037168356,180252524.49047467,7424768.748358243,0.7615174276282071,0.3324447931580461,1.3539048128133793,891.2929895616677,1256.5953490551194,17.579057472056807,12.71195374933106,75.21115650677231,2.281004971406277,719.9879942361343,8.160878465789423,299883562.29561573,17569250.55443488,14.197022940723638,278266829.5329104
