,Distrito Federal - value,Distrito Federal - Desemprego, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Distrito Federal - IDH,Distrito Federal - Consumo de Cimento (t),Distrito Federal - PIB - Estadual,Distrito Federal - PIB - Construção Civil,Distrito Federal - PIB - Per Capita,Distrito Federal - PIB - Preços de Mercado,Distrito Federal - Produção de Cimento (t)
2003-1,0.2542268744495767,8.293882125751406,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6114984011933968,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,2.290151011990808,887.3010625455175,1472.275657411493,22.11297265889236,15.990622656499829,71.13034636841554,2.506072815444217,0.8269707095205188,50.047,118401741.72880124,3570615.8656266965,43.6394300247382,109246465.15686002,156.62572
2003-2,0.2526547312662153,8.28788685591613,0.6902970479188117,-5318.079644051534,11.189861881849811,1.4503889427633918,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,2.1707925912622543,887.6255003685371,1467.0385996793498,21.790128295630836,15.6639325999037,70.74148410738515,2.494967268246459,0.8270629450418,48.11,118551149.57961412,3573184.075185873,43.65130023038412,109302470.07217778,157.6785276923077
2003-3,0.2509717408339344,8.281891586080853,0.6696806488591152,-5436.417870121553,10.82079163233486,1.870184311511264,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,1.8439739226867968,887.9955266271594,1443.1866598880365,21.382000507642505,14.859800471521766,69.07314963089627,2.482658807530314,0.8271551805630811,49.006,118700557.43042696,3575752.2847450497,43.66317043603003,109358474.98749556,159.19026843304843
2003-4,0.2491790192084148,8.275896316245577,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3552874765398468,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,1.842883079720135,888.753058042498,1484.414910438377,20.864039712209028,13.463842612949902,65.51515268805349,2.5414731134924,0.8272474160843624,48.445,118849965.28123984,3578320.494304226,43.67504064167595,109414479.90281332,160.68837557590558
2003-5,0.2470695644738524,8.2699010464103,0.6483369045565663,-5599.317940972945,9.959689613256948,1.5855384957135032,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,1.49849715450042,889.0516898876887,1487.5646247752709,20.59312936037869,12.206035197614302,61.81622716996797,2.562082014237634,0.8273396516056436,51.436,118999373.1320527,3580888.7038634024,43.68691084732186,109470484.81813107,162.8474100586642
2003-6,0.2448402820814358,8.263905776575024,0.6327588982490451,-5720.383331634745,9.432414860416127,1.7078914536714904,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,1.344225692817892,889.2295319900151,1524.2097878473237,20.805376120268424,11.4223477934982,58.33664617378804,2.6258765043203467,0.8274318871269247,51.884,119148780.98286556,3583456.913422579,43.69878105296778,109526489.73344883,165.2384100586642
2003-7,0.2426963405654497,8.257910506739748,0.6380135035998685,-5884.375046061743,8.822929754380787,1.5982839320937383,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,1.5500841308505071,889.0304763685286,1517.7287859175465,21.099622111524248,11.309292917835847,57.17247402092927,2.668059805602691,0.827524122648206,57.034,119298188.83367842,3586025.122981755,43.710651258613694,109582494.6487666,167.8232487683416
2003-8,0.2402350187336562,8.251915236904471,0.6346344548960355,-5959.855464930735,8.332469749880811,1.7218082520903182,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,1.725866913299491,888.2673941043005,1476.9931656589322,21.473822374918484,12.188755608600404,59.255051543649365,2.612143042724438,0.8276163581694872,52.525,119447596.68449128,3588593.332540932,43.722521464259614,109638499.56408438,171.25434251834162
2003-9,0.2378617932020443,8.245919967069195,0.6323269495840285,-6014.809970017429,7.939983702859978,1.6351282376087797,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,1.8555036148410764,887.6443495453833,1470.8076757804126,21.79938604673447,13.02183817115295,61.22173459549631,2.592249687346977,0.8277085936907683,55.603,119597004.53530414,3591161.542100108,43.734391669905534,109694504.47940214,174.18155463955372
2003-10,0.2353740979290598,8.239924697233919,0.629038170305887,-6121.266757398654,7.604976000172705,1.8119435424411887,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,2.118564926359931,886.8183333384953,1387.321683442785,21.723953068999712,14.234422498017096,66.18972085748126,2.567129356094765,0.8278008292120496,60.077,119746412.386117,3593729.751659285,43.74626187555145,109750509.39471991,176.26190758073022
2003-11,0.2327693237495657,8.233929427398643,0.6315074373857803,-6097.745583517717,7.313008932848318,1.6375042967189617,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965,2.22444666367024,886.447499356187,1344.3215532849051,21.61036432448524,15.36042854853613,70.84238795945599,2.525930303055787,0.8278930647333308,55.04,119895820.23692988,3596297.9612184614,43.75813208119737,109806514.31003769,177.08590758073024
2003-12,0.2302529777394608,8.227934157563366,0.6292469617617195,-6082.10009002275,7.034262103245153,1.7623760541706297,0.8211746264022252,179203287.3317393,7391919.967637314,0.8169855326871092,2.150630695272786,886.2812128688732,1333.9440333749783,21.58599326914941,15.915775706878202,73.13932759591786,2.5043678456223235,0.8279853002546119,56.634,120045228.08774272,3598866.170777637,43.77000228684328,109862519.22535545,177.63507424739691
2004-1,0.2282473108858127,8.22193888772809,0.6279521987366027,-6360.043009879893,6.775421109777445,1.3607725559131063,0.8146624868021721,179384775.903975,7397520.947074695,0.8183674345886709,2.0515543021109943,886.2996603815479,1288.4723818850089,21.284529323964453,16.407080339477968,76.15166551046862,2.439496988560788,0.8280775357758932,46.442,120194635.9385556,3601434.380336814,43.7818724924892,109918524.1406732,178.13883100415364
2004-2,0.2267834841670317,8.219658846134475,0.6179234500456987,-6312.09879505444,6.535527586437412,1.2915557727587674,0.7877508194696684,179558325.62127495,7402970.507331404,0.813175865272952,2.0800188127952355,893.9066030313234,1291.4385933703109,21.41146264456617,16.10931871007069,76.07489646703978,2.416290674919221,0.8281594479780983,43.234,120330975.5108673,3601439.9206444323,43.79171960966001,109962939.046761,178.72001521467996
2004-3,0.2252649032943437,8.21737880454086,0.6110282002564377,-6382.974247910342,6.304693993612522,1.3153702879685611,0.7462153668542578,179731875.3385749,7408420.067588114,0.7940584078254243,2.0368512908935674,895.5107080172077,1249.9861971329076,21.033729905946096,15.377434655424013,74.59970337480078,2.417242197664901,0.8282413601803035,54.587,120467315.08317898,3601445.4609520505,43.80156672683082,110007353.95284882,180.77763059929532
2004-4,0.2241073854520582,8.215098762947244,0.602215193421453,-6659.524121320398,6.092845857236326,1.2716511611761512,0.7161196882161044,179905425.05587482,7413869.627844823,0.7742123337341686,1.9158865892548291,897.2098908878606,1248.388707915418,20.532244893998467,14.354081018273105,72.49640452293613,2.5173724814436405,0.8283232723825087,59.228,120603654.65549068,3601451.0012596687,43.81141384400163,110051768.85893664,181.67425559929532
2004-5,0.2229107596361606,8.21281872135363,0.5930166849467975,-6639.092352241397,5.906435456003245,1.3496753218264288,0.6877653033067546,180078974.77317473,7419319.188101534,0.7850618617376672,1.976873686937381,899.0252928009488,1313.8377850727109,20.41158636560087,12.78028944857717,67.30437671160917,2.638772769469404,0.8284051845847138,63.997,120739994.22780237,3601456.5415672865,43.82126096117244,110096183.76502444,183.55106047734407
2004-6,0.2216833686307894,8.210538679760015,0.574475450988554,-6748.885395968077,5.749095649630231,1.5103056439741145,0.6580265037168356,180252524.49047467,7424768.748358243,0.7615174276282071,1.9958853104622636,892.5261482519093,1493.7113390694124,20.47318942149881,11.28886866570124,60.689169332313135,2.725934830083588,0.8284870967869189,67.774,120876333.80011408,3601462.0818749047,43.83110807834325,110140598.67111224,184.1576795249632
2004-7,0.2204170904410161,8.208258638166399,0.5593363966337657,-6784.497815846861,5.627047610968012,1.3540905935347418,0.6207840323429428,180426074.2077746,7430218.308614952,0.7524273421975352,2.0298338638601336,891.456639970026,1623.028583788281,21.042780348195794,11.073870631327123,58.00130374201409,2.784529745313907,0.8285690089891241,71.34,121012673.37242576,3601467.622182523,43.840955195514056,110185013.57720006,185.01979580403287
2004-8,0.2191075690080136,8.205978596572784,0.5366506165950669,-6905.605509166634,5.503636763429107,1.434760472048315,0.5909034137973287,180599623.9250745,7435667.868871663,0.7295497751500113,2.0766710471385394,890.133499861948,1643.2872607416275,21.6574193736546,11.469078991307702,57.3831352228757,2.7621423933527214,0.8286509211913293,75.288,121149012.94473743,3601473.162490141,43.85080231268487,110229428.48328789,185.4944321676693
2004-9,0.2177543678355369,8.20369855497917,0.521373108360619,-6995.222858870797,5.379865840264738,1.2837775896757788,0.5537026055994817,180773173.6423745,7441117.429128372,0.7095428699539044,2.134348560305064,888.3047279827975,1621.0198929313406,21.928175855603904,12.610910677135568,60.52898705321024,2.70097438263252,0.8287328333935344,72.595,121285352.51704912,3601478.70279776,43.86064942985568,110273843.38937569,186.48703216766933
2004-10,0.2163655498669792,8.201418513385555,0.5156158255655208,-7120.238857990881,5.253056293059425,1.1406245002546846,0.5450174136197448,180946723.3596744,7446566.989385082,0.6959159305043552,2.205251668826101,887.3201875296064,1523.081313822641,21.817667645217483,14.414726138574473,66.97091441835633,2.613621482049392,0.8288147455957395,76.992,121421692.08936083,3601484.243105377,43.87049654702649,110318258.29546347,187.60933651549544
2004-11,0.2151494447369827,8.19913847179194,0.5071034898207396,-7055.497216121851,5.122595130555095,1.2854603148119332,0.5310516981315352,181120273.0769744,7452016.549641792,0.6696517138276467,2.218449805301848,886.7392075315347,1481.9620334978797,21.8024873742851,15.328952890871603,70.30134651190446,2.556716850847901,0.8288966577979447,74.06,121558031.66167252,3601489.7834129957,43.8803436641973,110362673.20155127,187.97831523889965
2004-12,0.2139064095983014,8.196858430198324,0.4969515420076215,-6921.044658255659,4.995239879121229,1.2322302066002024,0.5059456433043616,181293822.79427427,7457466.109898502,0.6553570801963157,2.454948928621544,886.3742385427046,1486.529843636504,21.74508125404747,16.131780178622922,73.60908765355269,2.436665339655455,0.82897857000015,65.679,121694371.2339842,3601495.323720613,43.89019078136811,110407088.1076391,187.92362773889965
2005-1,0.2126495797507284,8.19457838860471,0.483143045759377,-7202.757774714469,4.860078219431911,1.4183908253341642,0.4921828904516431,181467372.5115742,7462915.670155211,0.6473973428202994,2.384131682804297,886.3929007015442,1493.7595576627525,21.81794497968277,16.576834308635707,74.76103558877826,2.4327711522562736,0.8290604822023551,62.294,121830710.8062959,3601500.864028232,43.90003789853892,110451503.0137269,188.1491583511445
2005-2,0.2113929002670784,8.187249922764293,0.4753697952172824,-7128.700399706268,4.725791184629883,1.4238954789241105,0.479032861785929,181632962.2895496,7468228.679464037,0.6298003725137261,2.3415907324202294,886.7354407552928,1435.904934202276,21.582519929153243,16.28838547578731,74.233357046304,2.463607817892587,0.8291322240055428,55.247,121955622.6637851,3600180.3755425494,43.90860212051159,110489089.47333276,188.66714688892296
2005-3,0.2101426588181164,8.179921456923879,0.4664937288356185,-7221.778170229833,4.596932598972333,1.3369199083017531,0.4648610952618953,181798552.067525,7473541.688772862,0.6197803250738215,2.058901394560737,887.3127661648092,3205.62691033196,21.11506426238837,15.771466264562118,73.70171966232932,2.524262026336612,0.8292039658087305,65.908,122080534.5212743,3598859.887056868,43.917166342484265,110526675.9329386,190.54628197456825
2005-4,0.2089012489810589,8.172592991083462,0.4550001182228941,-7427.695727374902,4.479302822781261,1.5033990992305697,0.4371435666899209,181964141.8455004,7478854.698081687,0.6089935578495764,1.8196595238530984,888.0901211092878,5902.9982895284,20.68103341718976,14.5262140464244,70.11760257602552,2.6462996482434447,0.8292757076119182,67.387,122205446.37876353,3597539.3985711853,43.92573056445693,110564262.39254443,192.45701694480329
2005-5,0.2078751720376435,8.165264525243046,0.4387655535867955,-7307.848389698152,4.361373483938184,1.5253707589919576,0.4197283588146051,182129731.6234758,7484167.707390512,0.6112913639662371,2.1022222448359806,888.5836417154121,8614.816813148356,20.38422871881006,13.19314444675366,66.09360792136191,2.727933711418263,0.829347449415106,68.73,122330358.23625273,3596218.910085503,43.93429478642961,110601848.85215028,194.78339738090327
2005-6,0.2070752864777209,8.15793605940263,0.4302028729547594,-7431.800235590503,4.256101726196984,1.3784705106585684,0.4199780553732319,182295321.4014512,7489480.716699338,0.5804670357747842,2.1725126820904577,888.8110757619421,9695.904340816414,20.694977503917208,12.535340236768825,62.599287001823335,2.747134645516401,0.8294191912182937,74.797,122455270.09374192,3594898.421599821,43.94285900840228,110639435.31175612,197.2486828364592
2005-7,0.2065086539143797,8.150607593562214,0.4313751989691616,-7447.830376487559,4.16168717243741,1.4515065266492553,0.426655987569031,182460911.1794265,7494793.726008162,0.5645649922940777,2.169389879872256,888.5203312036217,8874.336118430447,21.429430995666596,11.947534726397944,58.16466208514071,2.6935556443649213,0.8294909330214814,70.102,122580181.95123112,3593577.933114139,43.95142323037496,110677021.77136196,198.97711697478152
2005-8,0.2057701296970109,8.143279127721799,0.4316478866297594,-7426.454566904413,4.079825078928361,1.314802317799124,0.4533210772878235,182626500.957402,7500106.735316987,0.5609756759595197,2.3120935315921067,887.7287787158178,6815.748119493745,21.83538839423036,12.610432688360367,59.55208763713412,2.64099166480419,0.829562674824669,93.05,122705093.80872032,3592257.4446284566,43.959987452347626,110714608.2309678,200.6712367340966
2005-9,0.2058830911452427,8.135950661881383,0.4277093852365702,-7512.020875107958,4.012628248908924,1.4544913446504557,0.4844114534007803,182792090.7353773,7505419.744625812,0.5646643450021134,2.156638675579299,887.0042648771662,4424.933666887909,21.942495306387176,13.6015929133518,63.28281131388807,2.5248463340282936,0.8296344166278568,80.334,122830005.66620952,3590936.956142775,43.968551674320295,110752194.69057363,201.2690713099284
2005-10,0.2068835257971447,8.128622196040967,0.4225131084131527,-7687.979669089395,3.9602332396446167,1.2166346637056376,0.4945726100320757,182957680.51335275,7510732.753934638,0.5644640550493971,2.051858670099881,886.4646945433963,3658.401927442975,21.92387873797403,14.240048556857513,65.81237968719377,2.460911521480837,0.8297061584310446,82.226,122954917.52369872,3589616.4676570925,43.97711589629297,110789781.15017948,202.4979594052421
2005-11,0.207730656978126,8.121293730200552,0.410747290823505,-7676.736667287167,3.9221772649399615,1.5774291835856542,0.4959029929217597,183123270.29132813,7516045.763243463,0.5622657106505984,2.1949322631734822,886.0828426335199,2884.432258740857,21.5769069457296,15.362828401849653,71.11882960686386,2.3877360334410005,0.8297779002342323,74.666,123079829.38118792,3588295.97917141,43.98568011826564,110827367.60978532,204.07565434043624
2005-12,0.2086482352072803,8.113965264360136,0.4101195327303973,-7542.184036343686,3.892160292125506,1.4013372679118714,0.5121818479826961,183288860.0693036,7521358.772552288,0.5630711908624105,2.326116678244113,886.0042434056852,2348.2613053547816,21.561252465887453,15.84312264356164,73.03731194662556,2.3020197271684304,0.82984964203742,60.79,123204741.23867711,3586975.4906857284,43.99424434023832,110864954.06939116,204.7381593763486
2006-1,0.209227730257644,8.10663679851972,0.4093210137705744,-7965.495545452277,3.8684439286332686,1.0664559084527,0.5246513831169914,183454449.8472789,7526671.781861113,0.5580933471517024,2.7154703289133084,886.0299651847209,2091.6911167677517,21.57282798944125,16.158891611676612,74.03188730583383,2.2822566071920334,0.8299213838406077,69.054,123329653.09616631,3585655.002200046,44.00280856221099,110902540.528997,206.95563050142923
2006-2,0.2094824326938038,8.10422646783729,0.4028183365263698,-7956.205189035386,3.846872965752776,1.277179270614667,0.5117940136540285,183612058.601541,7531879.804076586,0.5540061208774786,2.7799018803107303,886.3552361826368,1856.4375495975344,21.22367634640969,16.09698094208856,74.85135997639225,2.18340498349179,0.8299831081648366,58.368,123439256.01958191,3587011.218497432,44.00839966229479,110929046.90199678,208.54770804218995
