Ano, NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%)
2003,-5331.049150116268,11.520142924731228
2003,-5318.079644051534,11.189861881849811
2003,-5436.417870121553,10.82079163233486
2003,-5707.015273535643,10.417840426092067
2003,-5599.317940972945,9.959689613256948
2003,-5720.383331634745,9.432414860416127
2003,-5884.375046061743,8.822929754380787
2003,-5959.855464930735,8.332469749880811
2003,-6014.809970017429,7.939983702859978
2003,-6121.266757398654,7.604976000172705
2003,-6097.745583517717,7.313008932848318
2003,-6082.10009002275,7.034262103245153
2004,-6360.043009879893,6.775421109777445
2004,-6312.09879505444,6.535527586437412
2004,-6382.974247910342,6.304693993612522
2004,-6659.524121320398,6.092845857236326
2004,-6639.092352241397,5.906435456003245
2004,-6748.885395968077,5.749095649630231
2004,-6784.497815846861,5.627047610968012
2004,-6905.605509166634,5.503636763429107
2004,-6995.222858870797,5.379865840264738
2004,-7120.238857990881,5.253056293059425
2004,-7055.497216121851,5.122595130555095
2004,-6921.044658255659,4.995239879121229
2005,-7202.757774714469,4.8600782194319105
2005,-7128.700399706268,4.725791184629883
2005,-7221.778170229833,4.596932598972333
2005,-7427.695727374902,4.479302822781261
2005,-7307.8483896981525,4.361373483938184
2005,-7431.800235590503,4.256101726196984
2005,-7447.830376487559,4.16168717243741
2005,-7426.454566904413,4.079825078928361
2005,-7512.020875107958,4.012628248908924
2005,-7687.979669089395,3.9602332396446167
2005,-7676.736667287167,3.9221772649399615
2005,-7542.184036343686,3.892160292125506
2006,-7965.495545452277,3.8684439286332686
2006,-7956.205189035386,3.8468729657527754
2006,-8153.367564422752,3.8428187898204347
2006,-8423.448244351577,3.8362499081103922
2006,-8229.867308086905,3.840605092822108
2006,-8333.395980655183,3.8357922282673904
2006,-8363.641502791654,3.834296240076312
2006,-8483.803210688488,3.8373013141397476
2006,-8564.573776025667,3.8308454886440453
2006,-8753.077264130869,3.8208654814681133
2006,-8585.918047929645,3.797759546537678
2006,-8102.613779191029,3.778681269312833
2007,-8429.349883699913,3.758139256867763
2007,-8207.504212454718,3.739732339264414
2007,-8302.699392306728,3.706955628134506
