Ano,Mato Grosso do Sul - Desemprego
2008,8.011860789640922
2009,8.040524198285377
2010,8.00386216757406
2011,7.993143791483601
2012,6.360445461945462
2013,6.7253716835720105
2014,7.077333069355388
2015,7.357560212332947
2016,7.332913546392486
2017,7.012813943321785
2018,6.911971035307172
2019,6.834976598262197
2020,6.6871767334272745
2021,6.511628231501381
2022,6.516682916146178
