Ano,Mato Grosso do Sul - PIB - Estadual,Mato Grosso do Sul - PIB - Construção Civil,Mato Grosso do Sul - PIB - Per Capita,Mato Grosso do Sul - PIB - Preços de Mercado
2008,48952449.29896824,2250402.997493206,16.533878530784648,40724497.84856174
2009,49430987.44621838,2269265.870873893,16.565698690794772,40854104.42966156
2010,50899881.04016034,2290153.501698762,16.70129857079546,41381902.182753675
2011,52242826.97970282,2294875.501208014,16.813002732157532,41801597.923542075
2012,53454012.04788331,2288752.2067909846,16.887781720042174,42137018.94946247
2013,54529532.916291915,2278493.5642728754,16.940587250097412,42409023.01835112
2014,55438643.03059719,2276793.6304261247,16.985287085576168,42612953.396892875
2015,56074493.77953696,2266815.16539451,16.9940046093621,42702026.796516255
2016,56567321.55791565,2251674.4933153642,17.013733274654996,42797003.6148292
2017,56744967.342901535,2236955.4744570595,17.015525102034054,42818477.479052834
2018,56720541.11600477,2234063.5422723256,17.010395607116383,42792663.434622265
2019,56244657.382741764,2233988.0463009705,16.948561988152385,42605566.45527997
2020,55657906.839284055,2232222.2999954442,16.918732375117887,42471497.080700986
2021,54325352.11476909,2230057.497864405,16.83399259697546,42111053.67513804
2022,52722430.86510911,2227391.5773278,16.730204936951505,41671103.78955724
