Ano,Paraná - PIB - Estadual,Paraná - PIB - Construção Civil,Paraná - PIB - Per Capita,Paraná - PIB - Preços de Mercado
1985,0.028145873,7096056.30139809,10.9286524386,87445743.6314668
1986,0.075873944,10309459.1967951,11.1655148067,90192337.7194757
1987,0.240970837,10099937.9275353,12.9177142834,105317052.382232
1988,1.733755065,12750583.7410714,12.8215211005,105476486.941968
1989,26.68072567,16264115.8676815,13.1118368275,110153209.891838
1990,732.789965,11192186.8579547,12.993189728,110069727.870636
1991,3541.521187,10044160.6309313,12.8845377037,110034222.565175
1992,37570.8332,10259400.4950204,12.6134284044,109888465.754783
1993,834458.8691,12441598.12672,13.700437606,120885030.291938
1994,21303823.91,15887268.7753817,14.2772572029,127549246.654418
1995,40193724.65,16869666.6004603,14.3564046696,129824723.368603
1996,48199433.68,16870258.1975378,14.9459386271,136781105.236404
1997,53014378.37,19130133.2872946,14.9979418656,138882636.442713
1998,57100728.0,19949534.8507086,15.3057175794,143321974.127547
1999,63389042.27,17335541.0019421,15.1414199437,144039631.419511
2000,69130749.09,15544648.8882676,15.7529294273,151788375.437324
2001,76413389.96,14212244.3423242,16.1489506305,157596624.116639
2002,76353218.0387743,8105917.99109044,14.8042065182,145051704.291036
2003,96482402.5100522,6115525.40647237,16.216452038,160654217.336247
2004,107706240.774205,6285128.80288437,16.4217307008,166440612.283879
2005,110617035.44075,5947862.92224097,15.5054369278,159114560.970625
2006,119448899.08824,5230491.87818463,15.4916436132,160917558.051136
2007,143964629.399484,7038600.85638513,17.4500976898,182211651.564144
2008,159424943.473081,7312984.09303936,17.5158155658,185495482.045985
2009,171043526.685969,9070033.22141817,17.3541844616,185451101.640523
2010,192924561.102122,10899828.5848841,17.9816663576,192924561.102122
2011,218851112.680656,12515648.990471,19.2196724241,202043904.188252
2012,242927257.794833,14439478.5923716,19.6419563835,207767802.344854
2013,287678617.303816,12874390.0184291,20.8108628989,228866736.350447
2014,301106704.229344,12810132.6315488,20.0439146116,222120488.200364
2015,326630549.667907,12169961.4998802,20.0663159053,224000645.644888
2016,351329556.662175,11194463.0473729,19.8241961897,222877886.985545
2017,366028416.486897,9837592.73456653,19.7911039911,223979462.73896
2018,382568112.668013,9570384.25734692,19.9779234545,224033387.269587
2019,405628786.747913,9634112.82065913,20.1860747935,227910287.906001
2020,426369453.206482,10743393.6036745,19.7087598516,225000660.942356
2021,,,,
2022,,,,
