Ano,Rio Grande Do Norte - Produção de Cimento (t)
2014,1327.285780552868
2015,1263.4909123434973
2016,1117.7458017571842
2017,983.8617058833835
2018,928.3414557372428
2019,997.2281100691325
2020,1101.9957880038237
2021,1127.0143626617585
2022,1137.2935959957485
