Ano,Rio Grande do Norte
2014,13.251299820732239
2015,13.501882437563747
2016,13.466117672275377
2017,13.134883102456095
2018,13.052783760399954
2019,13.035247115217913
2020,12.958312498081671
2021,12.761459705259009
2022,12.74495982861337
