Ano,Rio Gde D-01o Norte - Consumo de Cimento (t)
2014,844.3278933644228
2015,785.052095346982
2016,700.0906173991137
2017,617.8951646951502
2018,604.9756231580069
2019,672.3256138442796
2020,741.5505680842583
2021,784.2359611901412
2022,808.434872305203
