Ano,Rio Grande do Norte - PIB - Estadual,Rio Grande do Norte - PIB - Construção Civil,Rio Grande do Norte - PIB - Per Capita,Rio Grande do Norte - PIB - Preços de Mercado
2008,33559873.87088177,2079112.7100338445,9.184160920535543,29247709.866512287
2009,33767291.01264116,2091123.8038927082,9.172749081907531,29231146.608412974
2010,34620252.54051084,2094394.6528778975,9.216787325223937,29471438.123898637
2011,35381511.82705791,2094875.661247311,9.249339966069384,29643383.848027065
2012,36047962.0837666,2083213.470033432,9.259759440263062,29763802.36208782
2013,36587114.64640498,2061661.0131143068,9.253187785640428,29821866.77012064
2014,36986503.53418902,2024777.5030975358,9.243101864055024,29821415.40653408
2015,37300240.07618714,1995627.4225003936,9.238579898214427,29825938.457162794
2016,37495952.09524418,1966808.20699207,9.235351663122136,29820920.04460962
2017,37590917.57123775,1955498.9057755885,9.243656354976245,29840061.8669887
2018,37488959.09995036,1955469.7173891906,9.237818237888614,29791831.284627512
2019,37235542.79158093,1962219.2746421706,9.223169234866804,29728213.66293418
2020,36730215.19208363,1972458.628581543,9.195628341789556,29602248.653026864
2021,36105632.78058798,1987017.779159209,9.192170023244312,29531895.940564148
2022,35343898.630739406,2004103.8403778013,9.186260816810721,29438723.586859263
