Ano,Rio Grande do Norte - Desemprego
2008,8.054622327364987
2009,8.084471478982518
2010,8.047147614117423
2011,8.031984898660799
2012,12.625418091168093
2013,12.889274158292375
2014,13.251299820732239
2015,13.501882437563747
2016,13.466117672275377
2017,13.134883102456095
2018,13.052783760399954
2019,13.035247115217913
2020,12.958312498081671
2021,12.761459705259009
2022,12.74495982861337
