Ano,Ceará - Consumo de Cimento (t)
2014,1995.1505888306042
2015,2035.0674884316973
2016,1995.1692135033059
2017,1900.2014574540888
2018,1818.3478695266328
2019,1866.6794510570974
2020,1957.7656250082905
2021,1992.1525778732544
2022,2005.0336885050497
