Ano,Tocantins - Consumo de Cimento (t)
2008,450.745
2009,467.58799999999997
2010,487.20799999999997
2011,458.331
2012,508.683
2013,525.234
2014,426.7672857142857
2015,454.92942857142856
2016,489.0162857142857
2017,500.27
2018,396.438
2019,402.93199999999996
2020,500.126
2021,542.03
2022,554.321
