Ano,Paraná - Consumo de Cimento (t)
2008,3001.521
2009,3092.068
2010,3749.448
2011,4174.942
2012,4522.969
2013,4578.716
2014,4341.821857142857
2015,4108.786285714286
2016,3869.3348571428573
2017,3764.518
2018,3773.354
2019,3786.974
2020,4235.532
2021,4784.413
2022,4538.256
