Ano,Espírito to --01 Consumo de Cimento (t)
2014,1275.9920253114
2015,1231.477484084197
2016,1178.3921273953913
2017,1163.7785131635085
2018,1152.2806350142766
2019,1144.5797011987402
2020,1135.9263930814075
2021,1101.1007816539588
2022,1088.76179616196
