Ano,Distrito Federal - Consumo de Cimento (t)
2014,936.2261896947463
2015,796.2207107838325
2016,695.3604292517457
2017,648.2674902282498
2018,635.9514215903456
2019,668.1115571530578
2020,716.7336328913425
2021,747.1297037165601
2022,754.8756901298483
