Ano,Mato Grosso - Consumo de Cimento (t)
2014,1411.2344285714282
2015,1241.1003428571426
2016,1083.1282285714283
2017,1220.058
2018,1316.386
2019,1446.064
2020,1555.266
2021,1788.146
2022,1947.017
