Ano,Rio Gde D-01o Norte - Consumo de Cimento (t)
2014,886.1657142857142
2015,802.5085714285714
2016,730.2617142857143
2017,646.482
2018,485.012
2019,563.293
2020,744.8629999999999
2021,811.86
2022,866.4159999999999
