Ano,Mato Grosso Do Sul - Consumo de Cimento (t)
2008,814.771
2009,693.327
2010,813.149
2011,923.248
2012,1008.624
2013,1028.608
2014,995.2221428571428
2015,951.0413142857142
2016,904.5375428571429
2017,870.341
2018,869.68
2019,902.144
2020,1038.045
2021,1092.056
2022,1152.06
