Ano,Bahia - Consumo de Cimento (t)
2008,2678.337
2009,2825.491
2010,3349.109
2011,3615.893
2012,3744.322
2013,3932.905
2014,4055.1399999999994
2015,3732.551999999999
2016,3424.967999999999
2017,3063.3
2018,2990.152
2019,3245.585
2020,3803.9
2021,3862.535
2022,3948.984
