Ano,Paraíba - Consumo de Cimento (t)
2014,1240.2328571428573
2015,1076.2482857142859
2016,928.2368571428572
2017,786.338
2018,707.565
2019,769.08
2020,1051.694
2021,1112.087
2022,1064.438
