Ano,Bahia - Consumo de Cimento (t)
2014,4055.1399999999994
2015,3732.551999999999
2016,3424.967999999999
2017,3063.3
2018,2990.152
2019,3245.585
2020,3803.9
2021,3862.535
2022,3948.984
