Ano,Paá - -01Consumo de Cimento (t)
2014,4197.799346626769
2015,4044.4865416248194
2016,3913.9203467219377
2017,3850.586338074514
2018,3864.2980982072513
2019,4074.90097859597
2020,4352.580751445397
2021,4455.256353887858
2022,4458.500858144664
