Ano,Pará - Consumo de Cimento (t)
2014,1947.6793411762278
2015,1823.1140751247156
2016,1669.7714762278556
2017,1531.21137157511
2018,1446.3473542515346
2019,1441.1590284428516
2020,1490.4680022849677
2021,1537.7635499411108
2022,1560.895293682998
