Ano,Totins-01 - Consumo de Cimento (t)
2014,465.2738160503512
2015,475.98453100840874
2016,470.33564164236464
2017,445.5884864200162
2018,432.0390520977443
2019,463.08935774396895
2020,503.1780804715884
2021,522.7057527018122
2022,533.3563222657114
