Ano,Distrito Federal - Consumo de Cimento (t)
2003-1,50.047
2003-2,48.11
2003-3,49.006
2003-4,48.445
2003-5,51.436
2003-6,51.884
2003-7,57.034
2003-8,52.525
2003-9,55.603
2003-10,60.077
2003-11,55.04
2003-12,56.634
2004-1,46.442
2004-2,43.234
2004-3,54.587
2004-4,59.228
2004-5,63.997
2004-6,67.774
2004-7,71.34
2004-8,75.288
2004-9,72.595
2004-10,76.992
2004-11,74.06
2004-12,65.679
2005-1,62.294
2005-2,55.247
2005-3,65.908
2005-4,67.387
2005-5,68.73
2005-6,74.797
2005-7,70.102
2005-8,93.05
2005-9,80.334
2005-10,82.226
2005-11,74.666
2005-12,60.79
2006-1,69.054
2006-2,58.368
2006-3,62.49
2006-4,54.739
2006-5,68.501
2006-6,60.01
2006-7,62.021
2006-8,71.527
2006-9,68.051
2006-10,60.18
2006-11,61.378
2006-12,50.865
2007-1,56.123
2007-2,46.807
2007-3,63.343
2007-4,59.052
2007-5,66.618
2007-6,66.917
2007-7,72.223
2007-8,75.666
2007-9,75.781
2007-10,93.232
2007-11,74.086
2007-12,58.494
2008-1,69.812
2008-2,57.359
2008-3,61.187
2008-4,72.894
2008-5,74.52
2008-6,75.426
2008-7,84.323
2008-8,90.292
2008-9,90.522
2008-10,91.401
2008-11,75.79
2008-12,66.187
2009-1,66.824
2009-2,64.058
2009-3,75.891
2009-4,67.298
2009-5,81.417
2009-6,80.314
2009-7,102.385
2009-8,98.178
2009-9,95.439
2009-10,93.638
2009-11,86.774
2009-12,79.047
2010-1,80.219
2010-2,85.365
2010-3,103.105
2010-4,90.761
2010-5,103.517
2010-6,101.609
2010-7,105.403
2010-8,108.029
2010-9,106.331
2010-10,102.258
2010-11,93.999
2010-12,87.008
2011-1,90.254
2011-2,98.661
2011-3,103.377
2011-4,97.92
2011-5,112.389
2011-6,113.662
2011-7,116.842
2011-8,126.83
2011-9,128.177
2011-10,107.386
2011-11,97.561
2011-12,84.831
2012-1,85.611
2012-2,100.739
2012-3,110.615
2012-4,94.425
2012-5,112.45
2012-6,106.072
2012-7,120.633
2012-8,124.457
2012-9,116.068
2012-10,115.278
2012-11,94.259
2012-12,81.06
2013-1,82.233
2013-2,81.92
2013-3,88.607
2013-4,97.741
2013-5,99.703
2013-6,94.269
2013-7,111.379
2013-8,122.789
2013-9,105.602
2013-10,109.042
2013-11,88.838
2013-12,69.946
2014-1,79.17200485973943
2014-2,75.62706886885861
2014-3,83.42451592024229
2014-4,81.68954024623899
2014-5,89.45939220906492
2014-6,89.63760406589596
2014-7,96.47242959788142
2014-8,101.6720842621892
2014-9,96.42439256104011
2014-10,97.67816538909844
2014-11,87.15897929588786
2014-12,88.0
2015-1,62.153022754473476
2015-2,59.37011372375359
2015-3,65.49140501693263
2015-4,64.1293833940645
2015-5,70.22901149745721
2015-6,70.3689145555187
2015-7,75.73451149303379
2015-8,79.81643736113149
2015-9,75.69680059952864
2015-10,76.68105976094944
2015-11,68.42310022376046
2015-12,69.083
2016-1,46.33361648041569
2016-2,44.25902325847976
2016-3,48.82230193059634
2016-4,47.80694684865123
2016-5,52.35407612235049
2016-6,52.45837056129138
2016-7,56.458296866941964
2016-8,59.50127658525845
2016-9,56.43018428288143
2016-10,57.163926335665565
2016-11,51.00781174702528
2016-12,48.47700000000003
2017-1,45.454
2017-2,35.599
2017-3,49.981
2017-4,39.881
2017-5,48.598
2017-6,49.942
2017-7,53.235
2017-8,59.29
2017-9,54.875
2017-10,57.52
2017-11,49.573
2017-12,40.698
2018-1,47.195
2018-2,43.527
2018-3,45.488
2018-4,44.96
2018-5,36.721
2018-6,54.463
2018-7,51.462
2018-8,58.854
2018-9,53.94
2018-10,51.514
2018-11,42.635
2018-12,40.371
2019-1,48.99
2019-2,44.726
2019-3,44.491
2019-4,43.901
2019-5,55.019
2019-6,50.942
2019-7,63.992
2019-8,64.127
2019-9,60.822
2019-10,65.182
2019-11,51.282
2019-12,43.554
2020-1,46.425
2020-2,45.384
2020-3,41.678
2020-4,45.24
2020-5,54.079
2020-6,55.52
2020-7,66.966
2020-8,67.615
2020-9,62.302
2020-10,66.663
2020-11,58.228
2020-12,52.525
2021-1,58.925
2021-2,51.906
2021-3,61.614
2021-4,66.945
2021-5,72.909
2021-6,69.05
2021-7,77.648
2021-8,74.233
2021-9,64.335
2021-10,70.002
2021-11,67.077
2021-12,55.303
2022-1,54.194
2022-2,57.474
2022-3,63.24
2022-4,65.331
2022-5,71.545
2022-6,72.388
2022-7,68.889
2022-8,77.448
2022-9,64.321
2022-10,72.839
2022-11,59.598
2022-12,59.598
