Ano,Espírito Santo - Consumo de Cimento (t)
2014,1296.041857142857
2015,1250.3238857142856
2016,1210.9172571428571
2017,1097.369
2018,1146.39
2019,1139.906
2020,1138.655
2021,1135.022
2022,1040.26
