Ano,Amazonas - Consumo de Cimento (t)
2014,813.6285287735918
2015,771.0771757438921
2016,685.7054766498127
2017,582.4576257205323
2018,543.4597360935767
2019,571.1964545295808
2020,595.091504665054
2021,611.9679097186051
2022,623.1389774563278
