Ano,Minas Gerais - Consumo de Cimento (t)
2014,6280.964163151547
2015,5728.560162469437
2016,5385.693618056844
2017,5503.989317563254
2018,5889.059498231947
2019,6374.8061022420015
2020,6630.450609581001
2021,6661.359985836857
2022,6725.895223921494
