Ano,Rondônia - Consumo de Cimento (t)
2008,390.788
2009,452.325
2010,921.425
2011,1021.5699999999999
2012,933.501
2013,826.67
2014,614.3947142857144
2015,510.2737714285714
2016,410.58051428571434
2017,406.814
2018,376.13800000000003
2019,399.441
2020,488.194
2021,502.824
2022,501.142
