Ano,Mahão -01- Consumo de Cimento (t)
2014,1303.4115714285715
2015,1191.5096571428573
2016,1100.2177714285715
2017,971.921
2018,750.012
2019,774.045
2020,1038.249
2021,1059.129
2022,1083.999
