Ano,Mato Grosso Do Sul - Consumo de Cimento (t)
2014,962.1459635368707
2015,933.8278439325936
2016,902.5352423481518
2017,891.3609102464751
2018,909.0006368813789
2019,965.4634871713819
2020,1033.3555760069373
2021,1073.866272276991
2022,1093.1183001945078
