Ano,São Paulo - Consumo de Cimento (t)
2008,13476.268
2009,13304.301
2010,14534.98
2011,14871.943
2012,15159.683
2013,15089.297
2014,13714.511285714287
2015,11767.65342857143
2016,9811.084285714287
2017,9918.501
2018,10001.077
2019,10458.276
2020,11181.809
2021,12113.838
2022,12383.649
