Ano,Tocantins - Consumo de Cimento (t)
2014,426.7672857142857
2015,454.92942857142856
2016,489.0162857142857
2017,500.27
2018,396.438
2019,402.93199999999996
2020,500.126
2021,542.03
2022,554.321
