Ano,Paraná - Consumo de Cimento (t)
2014,4341.821857142857
2015,4108.786285714286
2016,3869.3348571428573
2017,3764.518
2018,3773.354
2019,3786.974
2020,4235.532
2021,4784.413
2022,4538.256
