,São Paulo - Consumo de Cimento (t)
2003-1,782.111
2003-2,789.891
2003-3,774.309
2003-4,782.071
2003-5,841.4
2003-6,757.875
2003-7,857.128
2003-8,785.016
2003-9,827.22
2003-10,853.721
2003-11,766.03
2003-12,711.279
2004-1,706.731
2004-2,697.361
2004-3,859.304
2004-4,762.222
2004-5,763.92
2004-6,778.743
2004-7,776.245
2004-8,827.48
2004-9,802.352
2004-10,718.557
2004-11,738.6
2004-12,716.803
2005-1,656.269
2005-2,745.154
2005-3,788.618
2005-4,790.169
2005-5,791.663
2005-6,837.181
2005-7,818.964
2005-8,914.839
2005-9,842.283
2005-10,813.976
2005-11,902.902
2005-12,822.704
2006-1,851.312
2006-2,745.81
2006-3,969.343
2006-4,840.438
2006-5,974.086
2006-6,905.143
2006-7,952.021
2006-8,995.243
2006-9,928.49
2006-10,930.604
2006-11,950.276
2006-12,821.024
2007-1,868.685
2007-2,843.901
2007-3,1013.232
2007-4,904.763
2007-5,999.487
2007-6,989.026
2007-7,976.498
2007-8,1166.121
2007-9,1017.982
2007-10,1114.037
2007-11,1029.932
2007-12,851.789
2008-1,1028.204
2008-2,1021.902
2008-3,1028.175
2008-4,1085.962
2008-5,1097.846
2008-6,1170.535
2008-7,1270.803
2008-8,1194.518
2008-9,1175.49
2008-10,1272.776
2008-11,1140.539
2008-12,989.518
2009-1,990.422
2009-2,942.513
2009-3,1142.459
2009-4,1091.735
2009-5,1124.855
2009-6,1129.992
2009-7,1157.173
2009-8,1183.089
2009-9,1154.859
2009-10,1229.848
2009-11,1177.581
2009-12,979.775
2010-1,1053.508
2010-2,1066.271
2010-3,1316.193
2010-4,1183.106
2010-5,1271.088
2010-6,1233.481
2010-7,1225.127
2010-8,1345.003
2010-9,1299.821
2010-10,1231.045
2010-11,1223.599
2010-12,1086.738
2011-1,1046.862
2011-2,1124.482
2011-3,1189.115
2011-4,1163.951
2011-5,1353.267
2011-6,1293.03
2011-7,1307.856
2011-8,1392.359
2011-9,1314.434
2011-10,1272.955
2011-11,1277.306
2011-12,1136.326
2012-1,1134.419
2012-2,1195.57
2012-3,1395.858
2012-4,1199.755
2012-5,1339.696
2012-6,1121.823
2012-7,1336.174
2012-8,1491.696
2012-9,1272.396
2012-10,1343.556
2012-11,1292.897
2012-12,1035.843
2013-1,1158.184
2013-2,1125.612
2013-3,1245.517
2013-4,1291.043
2013-5,1302.749
2013-6,1212.871
2013-7,1341.764
2013-8,1423.64
2013-9,1338.662
2013-10,1362.289
2013-11,1225.032
2013-12,1061.934
2014-1,1208.704
2014-2,1204.828
2014-3,1191.2407142857144
2014-4,1177.6534285714288
2014-5,1164.066142857143
2014-6,1150.4788571428571
2014-7,1136.8915714285715
2014-8,1123.304285714286
2014-9,1109.717
2014-10,1096.1297142857143
2014-11,1082.5424285714287
2014-12,1068.955142857143
2015-1,1055.3678571428572
2015-2,1041.7805714285714
2015-3,1028.1932857142858
2015-4,1014.6060000000002
2015-5,1001.0187142857144
2015-6,987.4314285714286
2015-7,973.844142857143
2015-8,960.2568571428574
2015-9,946.6695714285715
2015-10,933.0822857142857
2015-11,919.4949999999999
2015-12,905.9077142857145
2016-1,892.3204285714287
2016-2,878.7331428571429
2016-3,865.1458571428575
2016-4,851.5585714285717
2016-5,837.9712857142858
2016-6,824.384
2016-7,810.7967142857142
2016-8,797.2094285714288
2016-9,783.622142857143
2016-10,770.0348571428572
2016-11,756.4475714285718
2016-12,742.860285714286
2017-1,729.273
2017-2,757.915
2017-3,923.634
2017-4,756.663
2017-5,872.715
2017-6,844.988
2017-7,910.653
2017-8,937.696
2017-9,871.611
2017-10,795.853
2017-11,804.767
2017-12,712.733
2018-1,763.665
2018-2,727.397
2018-3,855.245
2018-4,855.042
2018-5,648.867
2018-6,1003.807
2018-7,855.104
2018-8,913.329
2018-9,849.262
2018-10,897.883
2018-11,860.059
2018-12,771.417
2019-1,860.232
2019-2,773.607
2019-3,790.146
2019-4,886.929
2019-5,941.6
2019-6,817.301
2019-7,957.289
2019-8,978.99
2019-9,906.956
2019-10,980.948
2019-11,872.046
2019-12,692.232
2020-1,834.703
2020-2,755.995
2020-3,876.964
2020-4,842.227
2020-5,911.656
2020-6,1002.648
2020-7,1106.658
2020-8,1046.707
2020-9,1037.79
2020-10,1023.994
2020-11,958.552
2020-12,783.915
2021-1,923.739
2021-2,861.651
2021-3,1041.877
2021-4,1006.219
2021-5,1046.785
2021-6,1062.395
2021-7,1100.641
2021-8,1086.223
2021-9,1054.955
2021-10,1008.418
2021-11,1018.275
2021-12,902.66
2022-1,842.371
2022-2,905.455
2022-3,1131.584
2022-4,1069.666
2022-5,1126.956
2022-6,1049.984
2022-7,1071.582
2022-8,1112.914
2022-9,1028.144
2022-10,996.449
2022-11,1024.272
2022-12,1024.272
