,Mato Grosso - Produção de Cimento (t),Mato Grosso - IDH Longevidade,Mato Grosso - Consumo de Cimento (t),Mato Grosso - IDH Educacao,Mato Grosso - Desemprego,Mato Grosso - IDH Renda,Mato Grosso - IDH,Mato Grosso - PIB - Estadual,Mato Grosso - PIB - Construção Civil,Mato Grosso - PIB - Per Capita,Mato Grosso - PIB - Preços de Mercado,Mato Grosso - value,Contratação  Home equity (Bi R$),Contratação  Livre (Bi R$),Contratação  FGTS (Bi R$),Contratação  SFH (Bi R$),Contratação Jurídico Livre (Bi R$),Contratação Jurídico SFH (Bi R$),Direcionamento Aquisição (R$),Direcionamento Construção (R$),Direcionamento Aplicação (R$),Ativos Problemáticos - Home equity (R$),Ativos Problemáticos - SFH (R$),Ativos Problemáticos - FGTS (R$),Carteira de Crédito – Home equity (R$),Carteira de Crédito – Livre (R$),Carteira de Crédito - FGTS (R$),Carteira de Crédito - SFH  (R$),Carteira de Crédito P.Jurídica - Comercial (R$),Carteira de Crédito P.Jurídica -  Livre (R$),Carteira de Crédito  P.Jurídica - FGTS (R$),Inadimplência - SFH (%),Inadimplência - FGTS (%),Inadimplência - Livre (%),Inadimplência - Comercial (%),Inadimplência - Home equity (%),Poupança e Empréstimo - SBPE (R$), Títulos - LH (R$), Títulos – LIG (R$), Títulos – CRI (R$), Títulos – LCI (R$), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%)
2003-1,50.91723999999999,0.7741666247445078,47.47,0.7133648120308123,8.29717805688061,0.7560382436995498,0.7451471682661532,60845643.7658844,2670587.842185964,16.83133214002083,51189455.45652205,0.3318000568433363,201462456.11714217,1542506309.8411367,924895565.5692492,3117875881.3919983,423526878.091591,587167163.7021592,130093454953.13837,10395732075.17002,114575431471.5868,435565959.640581,3647348309.183967,4601248467.012386,9143675659.538502,77025091755.42033,66645104500.97764,70357915486.0413,487292826.3123182,19700442358.53432,20216902146.922844,1.557727272727273,2.4681182235196006,1.6032139282735605,0.3007954545454545,3.988205796497079,154037952387.93182,1211245345.725728,8107261626.504135,19217885920.21961,82028811059.6894,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6397179054162052,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896
2003-2,50.85158615384615,0.7744872459726776,45.387,0.7137211184628963,8.291317308367613,0.755859944390558,0.7453080647004359,60927684.677836455,2672687.8562078546,16.83596698577614,51216138.6244529,0.333614947802772,201519587.26159823,1542506309.8411367,926762087.4812832,3118865604.6653376,423526878.091591,587167163.7021592,130093454953.13837,10395732075.17002,114575431471.5868,437325871.5196978,3662679592.298504,4601248467.012386,9149334944.391596,77025091755.42033,66645104500.97764,70357915486.0413,487292826.3123182,19700442358.53432,20216902146.922844,1.557727272727273,2.467045413823511,1.6031184627526365,0.3007954545454545,3.9912293197597073,154037952387.93182,1211245345.725728,8107261626.504135,19217885920.21961,82227161794.38548,0.6902970479188117,-5318.079644051534,11.189861881849811,1.3788993761097037,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516
2003-3,50.97054911680911,0.7748078672008475,44.907,0.7140774248949805,8.285456559854616,0.7556816450815662,0.7454689611347185,61009725.58978851,2674787.8702297453,16.840601831531448,51242821.79238376,0.3348635568549185,201552913.7625309,1542506309.8411367,929095239.8713256,3119442943.241452,423526878.091591,587167163.7021592,130093454953.13837,10395732075.17002,114575431471.5868,438352486.782516,3671622840.781984,4601248467.012386,9152636193.889236,77025091755.42033,66645104500.97764,70357915486.0413,487292826.3123182,19700442358.53432,20216902146.922844,1.557727272727273,2.4664196081674588,1.6030627745320971,0.3007954545454545,3.992993041662908,154037952387.93182,1211245345.725728,8107261626.504135,19217885920.21961,82342866389.62486,0.6696806488591152,-5436.417870121553,10.82079163233486,1.924316748240424,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296
2003-4,51.04997768823768,0.7751284884290173,45.467,0.7144337313270646,8.279595811341618,0.7555033457725745,0.7456298575690011,61091766.501740575,2676887.8842516365,16.845236677286756,51269504.96031462,0.3360477113933359,201556484.45905945,1542506309.8411367,930401905.5849524,3119504800.9460354,423526878.091591,587167163.7021592,130093454953.13837,10395732075.17002,114575431471.5868,438462481.2749608,3672581045.9766426,4601248467.012386,9152989899.192554,77025091755.42033,66645104500.97764,70357915486.0413,487292826.3123182,19700442358.53432,20216902146.922844,1.557727272727273,2.4663525575614536,1.6030568079370395,0.3007954545454545,3.993182011866822,154037952387.93182,1211245345.725728,8107261626.504135,19217885920.21961,82355263310.54337,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3311738085719491,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036
2003-5,51.567529412375606,0.775449109657187,56.246,0.7147900377591486,8.273735062828623,0.7553250464635828,0.7457907540032838,61173807.41369263,2678987.898273527,16.849871523042065,51296188.128245465,0.3364466497473352,201754347.2436863,1544532267.3531897,932988863.9296496,3125212876.866717,424197467.2714536,587783609.9454554,130107691275.1087,10394625278.27334,114705716330.9839,439159108.9251241,3686861411.6189823,4603092170.54808,9157498856.155409,77004992869.51372,66632423045.992615,70383334397.9698,489117728.098564,19703613363.707813,20222331756.693333,1.557311029882877,2.4657665094378096,1.6017181235547433,0.301067129061027,3.992906696360227,154313356413.44116,1211478796.0401063,8089349468.850023,19218433382.21518,82459803632.12042,0.6483369045565663,-5599.317940972945,9.959689613256948,1.7360716517829076,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324
2003-6,51.91232941237561,0.775769730885357,56.126,0.7151463441912328,8.267874314315627,0.755146747154591,0.7459516504375664,61255848.32564469,2681087.912295418,16.854506368797374,51322871.29617632,0.3367533763856311,201957955.1935469,1546908262.734064,935358225.4724495,3131464802.8059,424972361.44158834,588499241.3989652,130126450067.38615,10393433249.900108,114860600545.03555,439306573.7613272,3697713378.91216,4605230658.734264,9160653950.13224,76982125045.18892,66618163786.45156,70413841126.60748,491246285.931748,19707387020.2554,20228742462.338394,1.55682392791826,2.4654898213939407,1.6002054508482808,0.3013635317058248,3.991431808955376,154639229671.55905,1211747864.6040154,8068369328.283034,19219737281.36202,82507927450.4187,0.6327588982490451,-5720.383331634745,9.432414860416127,1.8491678046235127,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294
2003-7,52.26245844463368,0.7760903521135267,66.358,0.7155026506233169,8.26201356580263,0.7549684478455992,0.746112546871849,61337889.23759674,2683187.926317309,16.859141214552686,51349554.46410718,0.3369648202829216,202214957.14555728,1550036025.0881956,937876709.9395428,3139512410.854654,425989970.7390316,589439249.7983502,130152422228.87473,10391943707.988922,115065895586.86964,439194712.46541387,3709319278.313315,4608065347.737236,9163828084.883158,76952110010.17926,66599923116.81848,70454757639.76314,494048899.8469375,19712394953.26108,20237217122.22505,1.5561827061435989,2.4653128915841886,1.5982345824716202,0.3017535273882209,3.9889642985997615,155070148184.784,1212101388.534788,8040682621.371575,19221715500.342857,82536984450.04909,0.6380135035998685,-5884.375046061743,8.822929754380787,1.67676361545111,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215
2003-8,52.37273969463368,0.7764109733416965,63.712,0.7158589570554009,8.256152817289632,0.7547901485366075,0.7462734433061318,61419930.1495488,2685287.9403391997,16.863776060307995,51376237.632038034,0.3375028261124576,202524133.0924266,1553897797.0561976,940546710.3737036,3149314298.776522,427244205.32914,590597818.8152549,130185998458.57149,10390200798.196669,115321044754.86565,438831193.83514726,3721672424.85343,4611593676.641672,9167026650.718103,76915101699.52654,66578051022.14627,70506220833.77563,497511103.1869276,19718626673.645603,20247723995.58969,1.5553909037937237,2.465232648313551,1.5958165176862025,0.3022369142206962,3.985530261168005,155604505009.91702,1212537421.0806632,8006404517.138649,19224444170.19608,82547619645.68053,0.6346344548960355,-5959.855464930735,8.332469749880811,1.8097393112807352,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296
2003-9,52.476254846148834,0.7767315945698664,66.987,0.7162152634874851,8.250292068776636,0.7546118492276157,0.7464343397404144,61501971.061500855,2687387.95436109,16.868410906063303,51402920.79996889,0.3373446187220328,202884263.02686417,1558475821.2786837,943370619.8177072,3160829064.335048,428728975.37726974,591969132.1213238,130227569455.47354,10388248666.180227,115625491347.40312,438223686.6682905,3734766133.563488,4615813084.532248,9170255037.947033,76871254048.27249,66552897487.48788,70568367604.9838,501618429.2945132,19726071692.329727,20260231341.66868,1.5544520601034642,2.465246019887027,1.5929622557534675,0.3028134903157318,3.9811557925347176,156240693203.75922,1213054015.4898794,7965650184.607262,19227999421.96008,82540478051.98201,0.6323269495840285,-6014.809970017429,7.939983702859978,1.8316690419412016,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211
2003-10,52.24949014026648,0.7770522157980362,67.214,0.7165715699195692,8.24443132026364,0.754433549918624,0.746595236174697,61584011.97345291,2689487.9683829807,16.873045751818612,51429603.96789974,0.3370916986510117,203294126.9415792,1563752340.3962662,946350831.3143276,3174015305.293775,430438191.0487776,593547373.3882011,130277525918.578,10386131457.596489,115978678662.86163,437379859.76260686,3748593719.474471,4620721010.493643,9173518636.879889,76820720991.45891,66524812497.896194,70641334849.72647,506356411.5124893,19734719520.2342,20274707419.6984,1.5533697143076504,2.465349934609614,1.589682795934857,0.3034830537858087,3.975866988574518,156977105823.11166,1213649225.0106754,7918534792.80042,19232457386.673244,82516204683.6225,0.629038170305887,-6121.266757398654,7.604976000172705,2.039285364639529,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358
