Ano,Pará - Consumo de Cimento (t)
2008,1559.491
2009,1355.5439999999999
2010,1640.682
2011,1856.176
2012,2042.91
2013,2318.608
2014,2041.730714285714
2015,1863.549771428571
2016,1705.6805142857138
2017,1564.94
2018,1375.281
2019,1290.9279999999999
2020,1444.547
2021,1529.0520000000001
2022,1592.624
