Ano,Pará - IDH Educacao
2008,0.6311386683532957
2009,0.634849528529102
2010,0.6386875151301574
2011,0.6426534945567193
2012,0.6461030639730639
2013,0.651361652637486
2014,0.6563084570239431
2015,0.6590841617759383
2016,0.667623394128221
2017,0.6700437026853321
2018,0.6712294938385441
2019,0.6712503569147754
2020,0.6707276620888458
2021,0.6668847222787408
2022,0.6651469697586264
