,Piauí - IDH Educacao
2003-1,0.6054313175035991
2003-2,0.6059520446140139
2003-3,0.6064727717244287
2003-4,0.6069934988348434
2003-5,0.6075142259452582
2003-6,0.6080349530556729
2003-7,0.6085556801660876
2003-8,0.6090764072765025
2003-9,0.6095971343869172
2003-10,0.6101178614973319
2003-11,0.6106385886077468
2003-12,0.6111593157181615
2004-1,0.6116800428285762
2004-2,0.6121717083918881
2004-3,0.6126633739551998
2004-4,0.6131550395185115
2004-5,0.6136467050818233
2004-6,0.6141383706451351
2004-7,0.6146300362084468
2004-8,0.6151217017717585
2004-9,0.6156133673350703
2004-10,0.6161050328983821
2004-11,0.6165966984616938
2004-12,0.6170883640250056
2005-1,0.6175800295883174
2005-2,0.618042173088168
2005-3,0.6185043165880187
2005-4,0.6189664600878694
2005-5,0.61942860358772
2005-6,0.6198907470875707
2005-7,0.6203528905874214
2005-8,0.620815034087272
2005-9,0.6212771775871228
2005-10,0.6217393210869734
2005-11,0.622201464586824
2005-12,0.6226636080866748
2006-1,0.6231257515865254
2006-2,0.6235579125065569
2006-3,0.6239900734265884
2006-4,0.6244222343466199
2006-5,0.6248543952666515
2006-6,0.625286556186683
2006-7,0.6257187171067146
2006-8,0.6261508780267461
2006-9,0.6265830389467776
2006-10,0.6270151998668092
2006-11,0.6274473607868407
2006-12,0.6278795217068722
2007-1,0.6283116826269037
2007-2,0.6287134004507581
2007-3,0.6291151182746124
2007-4,0.6295168360984666
2007-5,0.629918553922321
2007-6,0.6303202717461753
2007-7,0.6307219895700297
2007-8,0.631123707393884
2007-9,0.6315254252177384
2007-10,0.6319271430415927
2007-11,0.6323288608654469
2007-12,0.6327305786893013
2008-1,0.6331322965131556
2008-2,0.6335031107244746
2008-3,0.6338739249357938
2008-4,0.6342447391471128
2008-5,0.6346155533584318
2008-6,0.6349863675697509
2008-7,0.6353571817810699
2008-8,0.6357279959923889
2008-9,0.6360988102037081
2008-10,0.6364696244150271
2008-11,0.6368404386263461
2008-12,0.6372112528376652
2009-1,0.6375820670489842
2009-2,0.63792151713141
2009-3,0.6382609672138357
2009-4,0.6386004172962614
2009-5,0.6389398673786871
2009-6,0.6392793174611129
2009-7,0.6396187675435386
2009-8,0.6399582176259644
2009-9,0.6402976677083901
2009-10,0.6406371177908159
2009-11,0.6409765678732415
2009-12,0.6413160179556673
2010-1,0.641655468038093
2010-2,0.6419630934752674
2010-3,0.6422707189124417
2010-4,0.642578344349616
2010-5,0.6428859697867904
2010-6,0.6431935952239647
2010-7,0.643501220661139
2010-8,0.6438088460983133
2010-9,0.6441164715354877
2010-10,0.644424096972662
2010-11,0.6447317224098363
2010-12,0.6450393478470107
2011-1,0.645346973284185
2011-2,0.645574199584577
2011-3,0.645801425884969
2011-4,0.646028652185361
2011-5,0.646255878485753
2011-6,0.646483104786145
2011-7,0.646710331086537
2011-8,0.646937557386929
2011-9,0.647164783687321
2011-10,0.6473920099877131
2011-11,0.647619236288105
2011-12,0.6478464625884971
2012-1,0.648073688888889
2012-2,0.6484075339506175
2012-3,0.6487413790123459
2012-4,0.6490752240740743
2012-5,0.6494090691358025
2012-6,0.6497429141975309
2012-7,0.6500767592592593
2012-8,0.6504106043209877
2012-9,0.6507444493827161
2012-10,0.6510782944444444
2012-11,0.6514121395061728
2012-12,0.6517459845679012
2013-1,0.6520798296296296
2013-2,0.6522817728909465
2013-3,0.6524837161522634
2013-4,0.6526856594135803
2013-5,0.6528876026748971
2013-6,0.653089545936214
2013-7,0.6532914891975309
2013-8,0.6534934324588477
2013-9,0.6536953757201647
2013-10,0.6538973189814815
2013-11,0.6540992622427984
2013-12,0.6543012055041153
2014-1,0.6545031487654321
2014-2,0.6546108095207477
2014-3,0.6547184702760631
2014-4,0.6548261310313787
2014-5,0.6549337917866942
2014-6,0.6550414525420096
2014-7,0.6551491132973252
2014-8,0.6552567740526407
2014-9,0.6553644348079561
2014-10,0.6554720955632717
2014-11,0.6555797563185872
2014-12,0.6556874170739027
2015-1,0.6557950778292182
2015-2,0.657027698200368
2015-3,0.6582603185715177
2015-4,0.6594929389426675
2015-5,0.6607255593138173
2015-6,0.661958179684967
2015-7,0.6631908000561167
2015-8,0.6644234204272665
2015-9,0.6656560407984162
2015-10,0.666888661169566
2015-11,0.6681212815407158
2015-12,0.6693539019118655
2016-1,0.6705865222830153
2016-2,0.6708030868457654
2016-3,0.6710196514085156
2016-4,0.6712362159712657
2016-5,0.6714527805340158
2016-6,0.6716693450967659
2016-7,0.671885909659516
2016-8,0.6721024742222662
2016-9,0.6723190387850163
2016-10,0.6725356033477664
2016-11,0.6727521679105166
2016-12,0.6729687324732667
2017-1,0.6731852970360168
2017-2,0.6732473068620473
2017-3,0.6733093166880777
2017-4,0.6733713265141081
2017-5,0.6734333363401385
2017-6,0.6734953461661689
2017-7,0.6735573559921993
2017-8,0.6736193658182298
2017-9,0.6736813756442602
2017-10,0.6737433854702906
2017-11,0.673805395296321
2017-12,0.6738674051223514
2018-1,0.6739294149483819
2018-2,0.6739516074858696
2018-3,0.6739738000233574
2018-4,0.6739959925608451
2018-5,0.6740181850983329
2018-6,0.6740403776358206
2018-7,0.6740625701733083
2018-8,0.6740847627107961
2018-9,0.6741069552482838
2018-10,0.6741291477857716
2018-11,0.6741513403232593
2018-12,0.6741735328607471
2019-1,0.6741957253982348
2019-2,0.6740608445300396
2019-3,0.6739259636618444
2019-4,0.6737910827936492
2019-5,0.6736562019254541
2019-6,0.6735213210572588
2019-7,0.6733864401890637
2019-8,0.6732515593208684
2019-9,0.6731166784526732
