,Bahia - IDH Educacao
2003-1,0.5983943652283061
2003-2,0.5987952578086633
2003-3,0.5991961503890204
2003-4,0.5995970429693775
2003-5,0.5999979355497347
2003-6,0.6003988281300918
2003-7,0.600799720710449
2003-8,0.6012006132908062
2003-9,0.6016015058711633
2003-10,0.6020023984515205
2003-11,0.6024032910318776
2003-12,0.6028041836122348
2004-1,0.6032050761925919
2004-2,0.6035921134739601
2004-3,0.6039791507553283
2004-4,0.6043661880366965
2004-5,0.6047532253180647
2004-6,0.605140262599433
2004-7,0.6055272998808012
2004-8,0.6059143371621694
2004-9,0.6063013744435376
2004-10,0.6066884117249058
2004-11,0.607075449006274
2004-12,0.6074624862876422
2005-1,0.6078495235690105
2005-2,0.6082226663789246
2005-3,0.6085958091888388
2005-4,0.6089689519987531
2005-5,0.6093420948086673
2005-6,0.6097152376185815
2005-7,0.6100883804284958
2005-8,0.61046152323841
2005-9,0.6108346660483241
2005-10,0.6112078088582383
2005-11,0.6115809516681525
2005-12,0.6119540944780668
2006-1,0.612327237287981
2006-2,0.6126864464539761
2006-3,0.6130456556199713
2006-4,0.6134048647859663
2006-5,0.6137640739519615
2006-6,0.6141232831179566
2006-7,0.6144824922839518
2006-8,0.6148417014499469
2006-9,0.615200910615942
2006-10,0.6155601197819371
2006-11,0.6159193289479322
2006-12,0.6162785381139274
2007-1,0.6166377472799225
2007-2,0.6169829836295334
2007-3,0.6173282199791444
2007-4,0.6176734563287554
2007-5,0.6180186926783663
2007-6,0.6183639290279773
2007-7,0.6187091653775882
2007-8,0.6190544017271992
2007-9,0.6193996380768102
2007-10,0.6197448744264211
2007-11,0.620090110776032
2007-12,0.6204353471256431
2008-1,0.620780583475254
2008-2,0.6211118078360157
2008-3,0.6214430321967774
2008-4,0.621774256557539
2008-5,0.6221054809183008
2008-6,0.6224367052790625
2008-7,0.6227679296398242
2008-8,0.6230991540005859
2008-9,0.6234303783613476
2008-10,0.6237616027221093
2008-11,0.624092827082871
2008-12,0.6244240514436327
2009-1,0.6247552758043944
2009-2,0.6250724490038417
2009-3,0.6253896222032891
2009-4,0.6257067954027364
2009-5,0.6260239686021838
2009-6,0.6263411418016311
2009-7,0.6266583150010785
2009-8,0.626975488200526
2009-9,0.6272926613999733
2009-10,0.6276098345994207
2009-11,0.627927007798868
2009-12,0.6282441809983154
2010-1,0.6285613541977627
2010-2,0.6288644370634306
2010-3,0.6291675199290986
2010-4,0.6294706027947665
2010-5,0.6297736856604345
2010-6,0.6300767685261024
2010-7,0.6303798513917704
2010-8,0.6306829342574384
2010-9,0.6309860171231063
2010-10,0.6312890999887742
2010-11,0.6315921828544422
2010-12,0.6318952657201101
2011-1,0.6321983485857781
2011-2,0.6324668838467276
2011-3,0.632735419107677
2011-4,0.6330039543686264
2011-5,0.6332724896295759
2011-6,0.6335410248905254
2011-7,0.6338095601514748
2011-8,0.6340780954124243
2011-9,0.6343466306733738
2011-10,0.6346151659343233
2011-11,0.6348837011952728
2011-12,0.6351522364562222
2012-1,0.6354207717171717
2012-2,0.635715360409652
2012-3,0.6360099491021324
2012-4,0.6363045377946128
2012-5,0.6365991264870932
2012-6,0.6368937151795735
2012-7,0.6371883038720538
2012-8,0.6374828925645342
2012-9,0.6377774812570145
2012-10,0.6380720699494948
2012-11,0.6383666586419753
2012-12,0.6386612473344556
2013-1,0.638955836026936
2013-2,0.6392680293326786
2013-3,0.6395802226384212
2013-4,0.6398924159441638
2013-5,0.6402046092499064
2013-6,0.640516802555649
2013-7,0.6408289958613916
2013-8,0.6411411891671343
2013-9,0.6414533824728769
2013-10,0.6417655757786195
2013-11,0.6420777690843621
2013-12,0.6423899623901047
2014-1,0.6427021556958473
2014-2,0.6428667539992907
2014-3,0.6430313523027341
2014-4,0.6431959506061775
2014-5,0.6433605489096208
2014-6,0.6435251472130642
2014-7,0.6436897455165076
2014-8,0.643854343819951
2014-9,0.6440189421233944
2014-10,0.6441835404268377
2014-11,0.6443481387302811
2014-12,0.6445127370337245
2015-1,0.6446773353371679
2015-2,0.645596315716473
2015-3,0.6465152960957781
2015-4,0.6474342764750832
2015-5,0.6483532568543884
2015-6,0.6492722372336934
2015-7,0.6501912176129986
2015-8,0.6511101979923037
2015-9,0.6520291783716088
2015-10,0.6529481587509139
2015-11,0.6538671391302191
2015-12,0.6547861195095241
2016-1,0.6557050998888293
2016-2,0.655702865797078
2016-3,0.6557006317053267
2016-4,0.6556983976135754
2016-5,0.6556961635218241
2016-6,0.6556939294300728
2016-7,0.6556916953383215
2016-8,0.6556894612465702
2016-9,0.6556872271548189
2016-10,0.6556849930630676
2016-11,0.6556827589713163
2016-12,0.655680524879565
2017-1,0.6556782907878137
2017-2,0.6556834293543881
2017-3,0.6556885679209624
2017-4,0.6556937064875368
2017-5,0.6556988450541111
2017-6,0.6557039836206855
2017-7,0.6557091221872597
2017-8,0.6557142607538341
2017-9,0.6557193993204085
2017-10,0.6557245378869828
2017-11,0.6557296764535572
2017-12,0.6557348150201315
2018-1,0.6557399535867059
2018-2,0.6557076805078172
2018-3,0.6556754074289287
2018-4,0.6556431343500402
2018-5,0.6556108612711515
2018-6,0.6555785881922629
2018-7,0.6555463151133744
2018-8,0.6555140420344858
2018-9,0.6554817689555972
2018-10,0.6554494958767085
2018-11,0.65541722279782
2018-12,0.6553849497189315
2019-1,0.6553526766400428
2019-2,0.6552265605539825
2019-3,0.6551004444679223
2019-4,0.654974328381862
2019-5,0.6548482122958017
2019-6,0.6547220962097414
2019-7,0.6545959801236811
2019-8,0.6544698640376208
2019-9,0.6543437479515605
2019-10,0.6542176318655002
2019-11,0.6540915157794399
2019-12,0.6539653996933796
2020-1,0.6538392836073194
2020-2,0.6535653387861626
2020-3,0.653291393965006
2020-4,0.6530174491438494
2020-5,0.6527435043226927
2020-6,0.652469559501536
2020-7,0.6521956146803793
2020-8,0.6519216698592227
2020-9,0.651647725038066
2020-10,0.6513737802169093
2020-11,0.6510998353957527
2020-12,0.650825890574596
2021-1,0.6505519457534393
2021-2,0.6504879453424806
2021-3,0.6504239449315218
2021-4,0.650359944520563
2021-5,0.6502959441096042
2021-6,0.6502319436986455
2021-7,0.6501679432876866
2021-8,0.6501039428767278
2021-9,0.650039942465769
2021-10,0.6499759420548102
2021-11,0.6499119416438515
2021-12,0.6498479412328927
2022-1,0.6497839408219339
