,Alagoas - IDH Educacao
2003-1,0.5740039225967265
2003-2,0.5745171470842889
2003-3,0.5750303715718513
2003-4,0.5755435960594137
2003-5,0.5760568205469763
2003-6,0.5765700450345387
2003-7,0.5770832695221011
2003-8,0.5775964940096635
2003-9,0.5781097184972259
2003-10,0.5786229429847884
2003-11,0.5791361674723509
2003-12,0.5796493919599133
2004-1,0.5801626164474757
2004-2,0.5806507804247513
2004-3,0.581138944402027
2004-4,0.5816271083793025
2004-5,0.5821152723565781
2004-6,0.5826034363338537
2004-7,0.5830916003111293
2004-8,0.583579764288405
2004-9,0.5840679282656805
2004-10,0.5845560922429561
2004-11,0.5850442562202318
2004-12,0.5855324201975074
2005-1,0.586020584174783
2005-2,0.5864834847388545
2005-3,0.586946385302926
2005-4,0.5874092858669975
2005-5,0.5878721864310691
2005-6,0.5883350869951406
2005-7,0.5887979875592121
2005-8,0.5892608881232836
2005-9,0.5897237886873551
2005-10,0.5901866892514267
2005-11,0.5906495898154982
2005-12,0.5911124903795697
2006-1,0.5915753909436412
2006-2,0.5920128251915914
2006-3,0.5924502594395415
2006-4,0.5928876936874918
2006-5,0.593325127935442
2006-6,0.5937625621833922
2006-7,0.5941999964313425
2006-8,0.5946374306792926
2006-9,0.5950748649272428
2006-10,0.595512299175193
2006-11,0.5959497334231432
2006-12,0.5963871676710935
2007-1,0.5968246019190436
2007-2,0.5972363669479552
2007-3,0.597648131976867
2007-4,0.5980598970057786
2007-5,0.5984716620346903
2007-6,0.5988834270636019
2007-7,0.5992951920925136
2007-8,0.5997069571214252
2007-9,0.6001187221503368
2007-10,0.6005304871792485
2007-11,0.6009422522081601
2007-12,0.6013540172370718
2008-1,0.6017657822659834
2008-2,0.6021516751729393
2008-3,0.6025375680798952
2008-4,0.602923460986851
2008-5,0.6033093538938069
2008-6,0.6036952468007628
2008-7,0.6040811397077186
2008-8,0.6044670326146745
2008-9,0.6048529255216304
2008-10,0.6052388184285863
2008-11,0.6056247113355422
2008-12,0.606010604242498
2009-1,0.6063964971494539
2009-2,0.6067563150315367
2009-3,0.6071161329136195
2009-4,0.6074759507957024
2009-5,0.6078357686777852
2009-6,0.608195586559868
2009-7,0.608555404441951
2009-8,0.6089152223240338
2009-9,0.6092750402061167
2009-10,0.6096348580881995
2009-11,0.6099946759702823
2009-12,0.6103544938523652
2010-1,0.610714311734448
2010-2,0.6110478516887405
2010-3,0.6113813916430332
2010-4,0.6117149315973257
2010-5,0.6120484715516182
2010-6,0.6123820115059109
2010-7,0.6127155514602034
2010-8,0.6130490914144959
2010-9,0.6133826313687886
2010-10,0.6137161713230811
2010-11,0.6140497112773736
2010-12,0.6143832512316663
2011-1,0.6147167911859588
2011-2,0.6150397435478472
2011-3,0.6153626959097356
2011-4,0.615685648271624
2011-5,0.6160086006335124
2011-6,0.6163315529954008
2011-7,0.6166545053572892
2011-8,0.6169774577191777
2011-9,0.6173004100810661
2011-10,0.6176233624429545
2011-11,0.6179463148048429
2011-12,0.6182692671667313
2012-1,0.6185922195286196
2012-2,0.6188116099420128
2012-3,0.619031000355406
2012-4,0.6192503907687992
2012-5,0.6194697811821924
2012-6,0.6196891715955856
2012-7,0.6199085620089788
2012-8,0.620127952422372
2012-9,0.6203473428357651
2012-10,0.6205667332491583
2012-11,0.6207861236625515
2012-12,0.6210055140759447
2013-1,0.6212249044893379
2013-2,0.6215597996594027
2013-3,0.6218946948294676
2013-4,0.6222295899995324
2013-5,0.6225644851695973
2013-6,0.6228993803396621
2013-7,0.6232342755097269
2013-8,0.6235691706797918
2013-9,0.6239040658498566
2013-10,0.6242389610199215
2013-11,0.6245738561899863
2013-12,0.6249087513600512
2014-1,0.625243646530116
2014-2,0.625425894075464
2014-3,0.625608141620812
2014-4,0.62579038916616
2014-5,0.6259726367115082
2014-6,0.6261548842568562
2014-7,0.6263371318022042
2014-8,0.6265193793475522
2014-9,0.6267016268929002
2014-10,0.6268838744382483
2014-11,0.6270661219835963
2014-12,0.6272483695289444
2015-1,0.6274306170742924
2015-2,0.6287317882849375
2015-3,0.6300329594955826
2015-4,0.6313341307062277
2015-5,0.6326353019168727
2015-6,0.6339364731275178
2015-7,0.6352376443381629
2015-8,0.636538815548808
2015-9,0.6378399867594531
2015-10,0.6391411579700981
2015-11,0.6404423291807432
2015-12,0.6417435003913883
2016-1,0.6430446716020334
2016-2,0.643105616083867
2016-3,0.6431665605657005
2016-4,0.6432275050475341
2016-5,0.6432884495293677
2016-6,0.6433493940112013
2016-7,0.6434103384930349
2016-8,0.6434712829748684
2016-9,0.643532227456702
2016-10,0.6435931719385356
2016-11,0.6436541164203692
2016-12,0.6437150609022028
2017-1,0.6437760053840363
2017-2,0.6438500660308851
2017-3,0.6439241266777339
2017-4,0.6439981873245826
2017-5,0.6440722479714314
2017-6,0.6441463086182802
2017-7,0.6442203692651289
2017-8,0.6442944299119777
2017-9,0.6443684905588265
2017-10,0.6444425512056753
2017-11,0.644516611852524
2017-12,0.6445906724993727
2018-1,0.6446647331462215
2018-2,0.6446167387003595
2018-3,0.6445687442544976
2018-4,0.6445207498086356
2018-5,0.6444727553627737
2018-6,0.6444247609169117
2018-7,0.6443767664710498
2018-8,0.6443287720251878
2018-9,0.6442807775793258
2018-10,0.6442327831334639
2018-11,0.6441847886876019
2018-12,0.64413679424174
2019-1,0.644088799795878
2019-2,0.6440970482791801
2019-3,0.6441052967624822
2019-4,0.6441135452457843
2019-5,0.6441217937290864
2019-6,0.6441300422123886
2019-7,0.6441382906956907
2019-8,0.6441465391789928
2019-9,0.644154787662295
2019-10,0.644163036145597
2019-11,0.6441712846288992
2019-12,0.6441795331122012
2020-1,0.6441877815955034
2020-2,0.6440679920621359
2020-3,0.6439482025287686
2020-4,0.6438284129954012
2020-5,0.6437086234620337
2020-6,0.6435888339286664
2020-7,0.643469044395299
2020-8,0.6433492548619315
2020-9,0.6432294653285642
2020-10,0.6431096757951967
2020-11,0.6429898862618293
2020-12,0.642870096728462
2021-1,0.6427503071950945
2021-2,0.6424756883102088
2021-3,0.6422010694253232
2021-4,0.6419264505404376
2021-5,0.641651831655552
2021-6,0.6413772127706663
2021-7,0.6411025938857806
2021-8,0.640827975000895
2021-9,0.6405533561160093
2021-10,0.6402787372311236
2021-11,0.640004118346238
2021-12,0.6397294994613524
2022-1,0.6394548805764667
