,Amazonas - IDH Educacao
2003-1,0.6584679902123459
2003-2,0.6588140637232484
2003-3,0.6591601372341507
2003-4,0.6595062107450531
2003-5,0.6598522842559555
2003-6,0.6601983577668579
2003-7,0.6605444312777603
2003-8,0.6608905047886627
2003-9,0.6612365782995651
2003-10,0.6615826518104675
2003-11,0.6619287253213699
2003-12,0.6622747988322722
2004-1,0.6626208723431747
2004-2,0.6629649715930256
2004-3,0.6633090708428766
2004-4,0.6636531700927275
2004-5,0.6639972693425784
2004-6,0.6643413685924293
2004-7,0.6646854678422802
2004-8,0.6650295670921312
2004-9,0.6653736663419821
2004-10,0.665717765591833
2004-11,0.6660618648416841
2004-12,0.666405964091535
2005-1,0.6667500633413859
2005-2,0.6670918956755584
2005-3,0.667433728009731
2005-4,0.6677755603439035
2005-5,0.6681173926780761
2005-6,0.6684592250122486
2005-7,0.6688010573464211
2005-8,0.6691428896805938
2005-9,0.6694847220147663
2005-10,0.6698265543489389
2005-11,0.6701683866831114
2005-12,0.670510219017284
2006-1,0.6708520513514565
2006-2,0.6711913241153238
2006-3,0.6715305968791911
2006-4,0.6718698696430584
2006-5,0.6722091424069256
2006-6,0.6725484151707929
2006-7,0.6728876879346601
2006-8,0.6732269606985275
2006-9,0.6735662334623947
2006-10,0.673905506226262
2006-11,0.6742447789901294
2006-12,0.6745840517539966
2007-1,0.6749233245178639
2007-2,0.675259745056799
2007-3,0.6755961655957341
2007-4,0.6759325861346692
2007-5,0.6762690066736042
2007-6,0.6766054272125394
2007-7,0.6769418477514745
2007-8,0.6772782682904096
2007-9,0.6776146888293447
2007-10,0.6779511093682797
2007-11,0.6782875299072149
2007-12,0.67862395044615
2008-1,0.6789603709850851
2008-2,0.6792936466444611
2008-3,0.6796269223038371
2008-4,0.6799601979632132
2008-5,0.6802934736225892
2008-6,0.6806267492819652
2008-7,0.6809600249413412
2008-8,0.6812933006007171
2008-9,0.6816265762600932
2008-10,0.6819598519194692
2008-11,0.6822931275788452
2008-12,0.6826264032382212
2009-1,0.6829596788975972
2009-2,0.6832895170227873
2009-3,0.6836193551479772
2009-4,0.6839491932731673
2009-5,0.6842790313983573
2009-6,0.6846088695235474
2009-7,0.6849387076487374
2009-8,0.6852685457739274
2009-9,0.6855983838991174
2009-10,0.6859282220243075
2009-11,0.6862580601494974
2009-12,0.6865878982746875
2010-1,0.6869177363998775
2010-2,0.6872438443362546
2010-3,0.6875699522726317
2010-4,0.687896060209009
2010-5,0.6882221681453861
2010-6,0.6885482760817632
2010-7,0.6888743840181403
2010-8,0.6892004919545174
2010-9,0.6895265998908945
2010-10,0.6898527078272716
2010-11,0.6901788157636488
2010-12,0.6905049237000259
2011-1,0.690831031636403
2011-2,0.6911002646341551
2011-3,0.6913694976319071
2011-4,0.6916387306296592
2011-5,0.6919079636274112
2011-6,0.6921771966251633
2011-7,0.6924464296229154
2011-8,0.6927156626206674
2011-9,0.6929848956184195
2011-10,0.6932541286161715
2011-11,0.6935233616139236
2011-12,0.6937925946116756
2012-1,0.6940618276094277
2012-2,0.694492812523382
2012-3,0.6949237974373363
2012-4,0.6953547823512908
2012-5,0.6957857672652451
2012-6,0.6962167521791994
2012-7,0.6966477370931539
2012-8,0.6970787220071082
2012-9,0.6975097069210625
2012-10,0.6979406918350168
2012-11,0.6983716767489712
2012-12,0.6988026616629256
2013-1,0.6992336465768799
2013-2,0.6995130469003304
2013-3,0.699792447223781
2013-4,0.7000718475472316
2013-5,0.7003512478706821
2013-6,0.7006306481941327
2013-7,0.7009100485175832
2013-8,0.7011894488410337
2013-9,0.7014688491644843
2013-10,0.7017482494879348
2013-11,0.7020276498113854
2013-12,0.702307050134836
2014-1,0.7025864504582865
2014-2,0.702833578586469
2014-3,0.7030807067146516
2014-4,0.7033278348428342
2014-5,0.7035749629710167
2014-6,0.7038220910991992
2014-7,0.7040692192273819
2014-8,0.7043163473555645
2014-9,0.704563475483747
2014-10,0.7048106036119295
2014-11,0.7050577317401121
2014-12,0.7053048598682947
2015-1,0.7055519879964772
2015-2,0.7064410943955668
2015-3,0.7073302007946564
2015-4,0.7082193071937459
2015-5,0.7091084135928354
2015-6,0.709997519991925
2015-7,0.7108866263910145
2015-8,0.7117757327901041
2015-9,0.7126648391891937
2015-10,0.7135539455882831
2015-11,0.7144430519873727
2015-12,0.7153321583864622
2016-1,0.7162212647855518
2016-2,0.7163062743672606
2016-3,0.7163912839489692
2016-4,0.716476293530678
2016-5,0.7165613031123867
2016-6,0.7166463126940955
2016-7,0.7167313222758043
2016-8,0.7168163318575129
2016-9,0.7169013414392217
2016-10,0.7169863510209304
2016-11,0.7170713606026391
2016-12,0.7171563701843479
2017-1,0.7172413797660566
2017-2,0.7171295720370116
2017-3,0.7170177643079666
2017-4,0.7169059565789215
2017-5,0.7167941488498766
2017-6,0.7166823411208315
2017-7,0.7165705333917864
2017-8,0.7164587256627415
2017-9,0.7163469179336964
2017-10,0.7162351102046515
2017-11,0.7161233024756064
2017-12,0.7160114947465614
2018-1,0.7158996870175164
2018-2,0.7158913513131037
2018-3,0.7158830156086908
2018-4,0.7158746799042781
2018-5,0.7158663441998654
2018-6,0.7158580084954526
2018-7,0.7158496727910398
2018-8,0.7158413370866271
2018-9,0.7158330013822143
2018-10,0.7158246656778016
2018-11,0.7158163299733888
2018-12,0.715807994268976
2019-1,0.7157996585645633
2019-2,0.7156542014324766
2019-3,0.71550874430039
2019-4,0.7153632871683033
2019-5,0.7152178300362168
2019-6,0.7150723729041301
2019-7,0.7149269157720435
2019-8,0.7147814586399568
2019-9,0.7146360015078701
2019-10,0.7144905443757835
2019-11,0.7143450872436968
2019-12,0.7141996301116103
2020-1,0.7140541729795236
2020-2,0.7137970076233078
2020-3,0.7135398422670921
2020-4,0.7132826769108764
2020-5,0.7130255115546607
2020-6,0.7127683461984449
2020-7,0.7125111808422292
2020-8,0.7122540154860135
2020-9,0.7119968501297977
2020-10,0.711739684773582
2020-11,0.7114825194173663
2020-12,0.7112253540611506
2021-1,0.7109681887049348
2021-2,0.7108997658920935
2021-3,0.710831343079252
2021-4,0.7107629202664106
2021-5,0.7106944974535693
2021-6,0.7106260746407278
2021-7,0.7105576518278864
2021-8,0.7104892290150451
