Ano,Rio Grande do Sul - IDH Educacao
2008,0.7102817978073679
2009,0.7125213406502721
2010,0.7148966023276079
2011,0.717404822903371
2012,0.7195586047138048
2013,0.7233551551066218
2014,0.7260514180321737
2015,0.728305702868188
2016,0.732388261883708
2017,0.7333326493276815
2018,0.7339083447211071
2019,0.7337181942412078
2020,0.7336016664449538
2021,0.7331109088490405
2022,0.7315755369262262
