,Pernambuco - IDH Educacao
2003-1,0.635245123734806
2003-2,0.6357026492398689
2003-3,0.6361601747449317
2003-4,0.6366177002499946
2003-5,0.6370752257550575
2003-6,0.6375327512601203
2003-7,0.6379902767651832
2003-8,0.638447802270246
2003-9,0.6389053277753088
2003-10,0.6393628532803717
2003-11,0.6398203787854346
2003-12,0.6402779042904975
2004-1,0.6407354297955603
2004-2,0.6411781166227171
2004-3,0.6416208034498737
2004-4,0.6420634902770304
2004-5,0.6425061771041871
2004-6,0.6429488639313439
2004-7,0.6433915507585005
2004-8,0.6438342375856572
2004-9,0.6442769244128139
2004-10,0.6447196112399707
2004-11,0.6451622980671273
2004-12,0.645604984894284
2005-1,0.6460476717214407
2005-2,0.6464753742388496
2005-3,0.6469030767562585
2005-4,0.6473307792736673
2005-5,0.6477584817910761
2005-6,0.648186184308485
2005-7,0.6486138868258938
2005-8,0.6490415893433027
2005-9,0.6494692918607116
2005-10,0.6498969943781203
2005-11,0.6503246968955292
2005-12,0.650752399412938
2006-1,0.6511801019303469
2006-2,0.6515926745061662
2006-3,0.6520052470819856
2006-4,0.652417819657805
2006-5,0.6528303922336243
2006-6,0.6532429648094435
2006-7,0.6536555373852629
2006-8,0.6540681099610823
2006-9,0.6544806825369016
2006-10,0.6548932551127209
2006-11,0.6553058276885403
2006-12,0.6557184002643597
2007-1,0.656130972840179
2007-2,0.6565282698425672
2007-3,0.6569255668449553
2007-4,0.6573228638473434
2007-5,0.6577201608497316
2007-6,0.6581174578521198
2007-7,0.6585147548545079
2007-8,0.658912051856896
2007-9,0.6593093488592843
2007-10,0.6597066458616725
2007-11,0.6601039428640606
2007-12,0.6605012398664487
2008-1,0.6608985368688369
2008-2,0.6612804126659523
2008-3,0.6616622884630675
2008-4,0.6620441642601829
2008-5,0.6624260400572982
2008-6,0.6628079158544135
2008-7,0.6631897916515288
2008-8,0.6635716674486442
2008-9,0.6639535432457594
2008-10,0.6643354190428747
2008-11,0.6647172948399901
2008-12,0.6650991706371053
2009-1,0.6654810464342207
2009-2,0.6658473553942215
2009-3,0.6662136643542222
2009-4,0.666579973314223
2009-5,0.6669462822742238
2009-6,0.6673125912342246
2009-7,0.6676789001942254
2009-8,0.6680452091542262
2009-9,0.6684115181142269
2009-10,0.6687778270742277
2009-11,0.6691441360342285
2009-12,0.6695104449942293
2010-1,0.6698767539542301
2010-2,0.6702273504452747
2010-3,0.6705779469363192
2010-4,0.6709285434273639
2010-5,0.6712791399184085
2010-6,0.671629736409453
2010-7,0.6719803329004976
2010-8,0.6723309293915423
2010-9,0.6726815258825868
2010-10,0.6730321223736314
2010-11,0.673382718864676
2010-12,0.6737333153557206
2011-1,0.6740839118467652
2011-2,0.6743638075205898
2011-3,0.6746437031944144
2011-4,0.6749235988682388
2011-5,0.6752034945420634
2011-6,0.675483390215888
2011-7,0.6757632858897125
2011-8,0.676043181563537
2011-9,0.6763230772373616
2011-10,0.6766029729111862
2011-11,0.6768828685850108
2011-12,0.6771627642588353
2012-1,0.6774426599326598
2012-2,0.6778693450710811
2012-3,0.6782960302095024
2012-4,0.6787227153479236
2012-5,0.6791494004863449
2012-6,0.6795760856247661
2012-7,0.6800027707631874
2012-8,0.6804294559016086
2012-9,0.6808561410400299
2012-10,0.6812828261784512
2012-11,0.6817095113168724
2012-12,0.6821361964552937
2013-1,0.6825628815937149
2013-2,0.6828515127158935
2013-3,0.6831401438380721
2013-4,0.6834287749602507
2013-5,0.6837174060824293
2013-6,0.6840060372046078
2013-7,0.6842946683267863
2013-8,0.6845832994489649
2013-9,0.6848719305711435
2013-10,0.6851605616933221
2013-11,0.6854491928155007
2013-12,0.6857378239376792
2014-1,0.6860264550598578
2014-2,0.6862349721088846
2014-3,0.6864434891579114
2014-4,0.6866520062069382
2014-5,0.686860523255965
2014-6,0.6870690403049918
2014-7,0.6872775573540186
2014-8,0.6874860744030453
2014-9,0.6876945914520721
2014-10,0.6879031085010989
