,Roraima - IDH Educacao
2003-1,0.7217138848512609
2003-2,0.7219743291638478
2003-3,0.7222347734764347
2003-4,0.7224952177890217
2003-5,0.7227556621016087
2003-6,0.7230161064141956
2003-7,0.7232765507267825
2003-8,0.7235369950393695
2003-9,0.7237974393519564
2003-10,0.7240578836645434
2003-11,0.7243183279771304
2003-12,0.7245787722897172
2004-1,0.7248392166023042
2004-2,0.7250690466248179
2004-3,0.7252988766473316
2004-4,0.7255287066698453
2004-5,0.725758536692359
2004-6,0.7259883667148727
2004-7,0.7262181967373864
2004-8,0.7264480267599001
2004-9,0.7266778567824137
2004-10,0.7269076868049275
2004-11,0.7271375168274411
2004-12,0.7273673468499549
2005-1,0.7275971768724685
2005-2,0.7277959588384628
2005-3,0.7279947408044571
2005-4,0.7281935227704516
2005-5,0.7283923047364459
2005-6,0.7285910867024402
2005-7,0.7287898686684346
2005-8,0.728988650634429
2005-9,0.7291874326004233
2005-10,0.7293862145664176
2005-11,0.7295849965324119
2005-12,0.7297837784984064
2006-1,0.7299825604644007
2006-2,0.7301498606074296
2006-3,0.7303171607504585
2006-4,0.7304844608934874
2006-5,0.7306517610365163
2006-6,0.7308190611795452
2006-7,0.7309863613225742
2006-8,0.7311536614656031
2006-9,0.731320961608632
2006-10,0.7314882617516609
2006-11,0.7316555618946898
2006-12,0.7318228620377187
2007-1,0.7319901621807476
2007-2,0.732125546734365
2007-3,0.7322609312879824
2007-4,0.7323963158415998
2007-5,0.7325317003952171
2007-6,0.7326670849488345
2007-7,0.7328024695024519
2007-8,0.7329378540560693
2007-9,0.7330732386096867
2007-10,0.7332086231633039
2007-11,0.7333440077169213
2007-12,0.7334793922705387
2008-1,0.7336147768241561
2008-2,0.7337178120219159
2008-3,0.7338208472196757
2008-4,0.7339238824174354
2008-5,0.7340269176151951
2008-6,0.7341299528129549
2008-7,0.7342329880107147
2008-8,0.7343360232084745
2008-9,0.7344390584062342
2008-10,0.7345420936039939
2008-11,0.7346451288017537
2008-12,0.7347481639995135
2009-1,0.7348511991972733
2009-2,0.7349214512727293
2009-3,0.7349917033481854
2009-4,0.7350619554236415
2009-5,0.7351322074990975
2009-6,0.7352024595745535
2009-7,0.7352727116500096
2009-8,0.7353429637254657
2009-9,0.7354132158009218
2009-10,0.7354834678763778
2009-11,0.7355537199518338
2009-12,0.7356239720272899
2010-1,0.735694224102746
2010-2,0.7357312592894523
2010-3,0.7357682944761585
2010-4,0.7358053296628648
2010-5,0.735842364849571
2010-6,0.7358794000362773
2010-7,0.7359164352229836
2010-8,0.7359534704096898
2010-9,0.7359905055963961
2010-10,0.7360275407831023
2010-11,0.7360645759698086
2010-12,0.7361016111565148
2011-1,0.7361386463432211
2011-2,0.7361478037046306
2011-3,0.7361569610660401
2011-4,0.7361661184274495
2011-5,0.736175275788859
2011-6,0.7361844331502685
2011-7,0.7361935905116779
2011-8,0.7362027478730874
2011-9,0.7362119052344969
2011-10,0.7362210625959064
2011-11,0.7362302199573159
2011-12,0.7362393773187252
2012-1,0.7362485346801347
2012-2,0.736180816170969
2012-3,0.7361130976618033
2012-4,0.7360453791526376
2012-5,0.7359776606434718
2012-6,0.735909942134306
2012-7,0.7358422236251403
2012-8,0.7357745051159746
2012-9,0.7357067866068089
2012-10,0.7356390680976431
2012-11,0.7355713495884775
2012-12,0.7355036310793117
2013-1,0.735435912570146
2013-2,0.735438939740772
2013-3,0.735441966911398
2013-4,0.735444994082024
2013-5,0.7354480212526501
2013-6,0.735451048423276
2013-7,0.7354540755939021
2013-8,0.7354571027645281
2013-9,0.7354601299351541
2013-10,0.7354631571057801
2013-11,0.7354661842764062
2013-12,0.7354692114470321
2014-1,0.7354722386176582
2014-2,0.7353227402747253
2014-3,0.7351732419317923
2014-4,0.7350237435888595
2014-5,0.7348742452459265
2014-6,0.7347247469029936
2014-7,0.7345752485600607
2014-8,0.7344257502171277
2014-9,0.7342762518741949
2014-10,0.7341267535312619
2014-11,0.733977255188329
2014-12,0.733827756845396
2015-1,0.7336782585024632
2015-2,0.7340674562361246
2015-3,0.734456653969786
2015-4,0.7348458517034474
2015-5,0.7352350494371088
2015-6,0.7356242471707702
2015-7,0.7360134449044317
2015-8,0.7364026426380931
2015-9,0.7367918403717545
2015-10,0.7371810381054159
2015-11,0.7375702358390773
2015-12,0.7379594335727387
2016-1,0.7383486313064002
2016-2,0.7381012724526608
2016-3,0.7378539135989214
2016-4,0.737606554745182
2016-5,0.7373591958914426
2016-6,0.7371118370377032
2016-7,0.7368644781839638
2016-8,0.7366171193302244
2016-9,0.7363697604764851
2016-10,0.7361224016227457
2016-11,0.7358750427690063
2016-12,0.7356276839152669
2017-1,0.7353803250615275
2017-2,0.7351635093422967
2017-3,0.7349466936230657
2017-4,0.7347298779038349
2017-5,0.7345130621846041
2017-6,0.7342962464653733
2017-7,0.7340794307461425
2017-8,0.7338626150269115
2017-9,0.7336457993076807
2017-10,0.7334289835884499
2017-11,0.733212167869219
2017-12,0.7329953521499881
2018-1,0.7327785364307573
2018-2,0.7324662526158388
2018-3,0.7321539688009203
2018-4,0.7318416849860018
2018-5,0.7315294011710832
2018-6,0.7312171173561648
2018-7,0.7309048335412462
2018-8,0.7305925497263277
2018-9,0.7302802659114093
2018-10,0.7299679820964907
2018-11,0.7296556982815722
2018-12,0.7293434144666537
2019-1,0.7290311306517352
2019-2,0.7287434877021272
2019-3,0.7284558447525191
2019-4,0.728168201802911
2019-5,0.7278805588533029
2019-6,0.7275929159036949
2019-7,0.7273052729540868
2019-8,0.7270176300044787
2019-9,0.7267299870548707
2019-10,0.7264423441052626
2019-11,0.7261547011556546
2019-12,0.7258670582060465
2020-1,0.7255794152564384
2020-2,0.7253262290083812
2020-3,0.7250730427603238
2020-4,0.7248198565122665
2020-5,0.7245666702642093
2020-6,0.724313484016152
2020-7,0.7240602977680948
2020-8,0.7238071115200374
2020-9,0.7235539252719801
2020-10,0.7233007390239229
2020-11,0.7230475527758655
2020-12,0.7227943665278083
2021-1,0.722541180279751
2021-2,0.7229164922515673
2021-3,0.7232918042233836
2021-4,0.7236671161951999
2021-5,0.7240424281670161
2021-6,0.7244177401388324
2021-7,0.7247930521106487
2021-8,0.7251683640824651
2021-9,0.7255436760542814
2021-10,0.7259189880260977
2021-11,0.726294299997914
2021-12,0.7266696119697302
2022-1,0.7270449239415465
