,Rio de Janeiro - IDH Educacao
2003-1,0.7311102293011001
2003-2,0.7312482452069742
2003-3,0.7313862611128481
2003-4,0.7315242770187221
2003-5,0.7316622929245962
2003-6,0.7318003088304701
2003-7,0.7319383247363441
2003-8,0.7320763406422182
2003-9,0.7322143565480921
2003-10,0.7323523724539661
2003-11,0.7324903883598401
2003-12,0.7326284042657141
2004-1,0.7327664201715881
2004-2,0.732916090876049
2004-3,0.73306576158051
2004-4,0.7332154322849709
2004-5,0.7333651029894317
2004-6,0.7335147736938926
2004-7,0.7336644443983535
2004-8,0.7338141151028145
2004-9,0.7339637858072754
2004-10,0.7341134565117362
2004-11,0.7342631272161971
2004-12,0.7344127979206581
2005-1,0.734562468625119
2005-2,0.7347237252761838
2005-3,0.7348849819272487
2005-4,0.7350462385783135
2005-5,0.7352074952293784
2005-6,0.7353687518804433
2005-7,0.7355300085315082
2005-8,0.735691265182573
2005-9,0.7358525218336378
2005-10,0.7360137784847027
2005-11,0.7361750351357675
2005-12,0.7363362917868325
2006-1,0.7364975484378973
2006-2,0.7366703221835832
2006-3,0.736843095929269
2006-4,0.7370158696749549
2006-5,0.7371886434206408
2006-6,0.7373614171663266
2006-7,0.7375341909120126
2006-8,0.7377069646576985
2006-9,0.7378797384033843
2006-10,0.7380525121490702
2006-11,0.7382252858947561
2006-12,0.7383980596404419
2007-1,0.7385708333861278
2007-2,0.7387550553744517
2007-3,0.7389392773627758
2007-4,0.7391234993510998
2007-5,0.7393077213394237
2007-6,0.7394919433277476
2007-7,0.7396761653160716
2007-8,0.7398603873043956
2007-9,0.7400446092927195
2007-10,0.7402288312810434
2007-11,0.7404130532693675
2007-12,0.7405972752576915
2008-1,0.7407814972460154
2008-2,0.7409770986249945
2008-3,0.7411727000039736
2008-4,0.7413683013829526
2008-5,0.7415639027619317
2008-6,0.7417595041409109
2008-7,0.74195510551989
2008-8,0.7421507068988691
2008-9,0.7423463082778482
2008-10,0.7425419096568273
2008-11,0.7427375110358063
2008-12,0.7429331124147854
2009-1,0.7431287137937646
2009-2,0.7433356257114159
2009-3,0.7435425376290672
2009-4,0.7437494495467185
2009-5,0.7439563614643697
2009-6,0.744163273382021
2009-7,0.7443701852996724
2009-8,0.7445770972173237
2009-9,0.744784009134975
2009-10,0.7449909210526262
2009-11,0.7451978329702775
2009-12,0.7454047448879288
2010-1,0.7456116568055802
2010-2,0.7458298104099207
2010-3,0.7460479640142613
2010-4,0.7462661176186018
2010-5,0.7464842712229425
2010-6,0.746702424827283
2010-7,0.7469205784316235
2010-8,0.7471387320359641
2010-9,0.7473568856403047
2010-10,0.7475750392446453
2010-11,0.7477931928489858
2010-12,0.7480113464533265
2011-1,0.748229500057667
2011-2,0.7484095541774405
2011-3,0.7485896082972141
2011-4,0.7487696624169876
2011-5,0.7489497165367611
2011-6,0.7491297706565347
2011-7,0.7493098247763083
2011-8,0.7494898788960818
2011-9,0.7496699330158554
2011-10,0.7498499871356289
2011-11,0.7500300412554024
2011-12,0.750210095375176
2012-1,0.7503901494949495
2012-2,0.750719247755331
2012-3,0.7510483460157127
2012-4,0.7513774442760943
2012-5,0.7517065425364758
2012-6,0.7520356407968574
2012-7,0.752364739057239
2012-8,0.7526938373176206
2012-9,0.7530229355780022
2012-10,0.7533520338383837
2012-11,0.7536811320987653
2012-12,0.7540102303591469
2013-1,0.7543393286195285
2013-2,0.7546125184016086
2013-3,0.7548857081836886
2013-4,0.7551588979657686
2013-5,0.7554320877478488
2013-6,0.7557052775299289
2013-7,0.7559784673120089
2013-8,0.7562516570940889
2013-9,0.756524846876169
2013-10,0.7567980366582492
2013-11,0.7570712264403292
2013-12,0.7573444162224092
2014-1,0.7576176060044894
2014-2,0.7577677282684094
2014-3,0.7579178505323295
2014-4,0.7580679727962496
2014-5,0.7582180950601696
2014-6,0.7583682173240897
2014-7,0.7585183395880097
2014-8,0.7586684618519298
2014-9,0.7588185841158499
2014-10,0.7589687063797699
2014-11,0.75911882864369
2014-12,0.75926895090761
2015-1,0.7594190731715301
2015-2,0.7597611667503458
2015-3,0.7601032603291614
2015-4,0.7604453539079771
2015-5,0.7607874474867927
2015-6,0.7611295410656084
2015-7,0.761471634644424
2015-8,0.7618137282232397
2015-9,0.7621558218020553
2015-10,0.762497915380871
2015-11,0.7628400089596866
2015-12,0.7631821025385023
2016-1,0.7635241961173179
2016-2,0.7635736218454794
2016-3,0.763623047573641
2016-4,0.7636724733018024
2016-5,0.7637218990299639
2016-6,0.7637713247581254
2016-7,0.7638207504862868
2016-8,0.7638701762144484
2016-9,0.7639196019426099
2016-10,0.7639690276707714
2016-11,0.7640184533989329
2016-12,0.7640678791270944
2017-1,0.7641173048552559
2017-2,0.7641333450435532
2017-3,0.7641493852318506
2017-4,0.7641654254201481
2017-5,0.7641814656084455
2017-6,0.7641975057967428
2017-7,0.7642135459850403
2017-8,0.7642295861733377
2017-9,0.7642456263616351
2017-10,0.7642616665499324
2017-11,0.7642777067382298
2017-12,0.7642937469265273
2018-1,0.7643097871148247
2018-2,0.7641833461081188
2018-3,0.7640569051014129
2018-4,0.763930464094707
2018-5,0.7638040230880011
2018-6,0.7636775820812952
2018-7,0.7635511410745894
2018-8,0.7634247000678835
2018-9,0.7632982590611777
2018-10,0.7631718180544718
2018-11,0.7630453770477659
2018-12,0.76291893604106
2019-1,0.7627924950343541
2019-2,0.7626621351482508
2019-3,0.7625317752621473
2019-4,0.762401415376044
2019-5,0.7622710554899406
2019-6,0.7621406956038372
2019-7,0.7620103357177339
2019-8,0.7618799758316305
