,Sergipe - IDH Educacao
2003-1,0.5993187375846019
2003-2,0.5997160510877303
2003-3,0.6001133645908587
2003-4,0.6005106780939871
2003-5,0.6009079915971155
2003-6,0.6013053051002439
2003-7,0.6017026186033724
2003-8,0.6020999321065008
2003-9,0.6024972456096293
2003-10,0.6028945591127577
2003-11,0.603291872615886
2003-12,0.6036891861190145
2004-1,0.6040864996221429
2004-2,0.6044640120891832
2004-3,0.6048415245562236
2004-4,0.605219037023264
2004-5,0.6055965494903044
2004-6,0.6059740619573447
2004-7,0.606351574424385
2004-8,0.6067290868914255
2004-9,0.6071065993584658
2004-10,0.6074841118255062
2004-11,0.6078616242925465
2004-12,0.608239136759587
2005-1,0.6086166492266273
2005-2,0.6089740924565612
2005-3,0.6093315356864951
2005-4,0.609688978916429
2005-5,0.6100464221463628
2005-6,0.6104038653762968
2005-7,0.6107613086062307
2005-8,0.6111187518361646
2005-9,0.6114761950660985
2005-10,0.6118336382960323
2005-11,0.6121910815259662
2005-12,0.6125485247559002
2006-1,0.6129059679858341
2006-2,0.6132430737776431
2006-3,0.6135801795694522
2006-4,0.6139172853612612
2006-5,0.6142543911530702
2006-6,0.6145914969448794
2006-7,0.6149286027366884
2006-8,0.6152657085284974
2006-9,0.6156028143203065
2006-10,0.6159399201121155
2006-11,0.6162770259039245
2006-12,0.6166141316957336
2007-1,0.6169512374875427
2007-2,0.6172677376402085
2007-3,0.6175842377928743
2007-4,0.6179007379455401
2007-5,0.6182172380982058
2007-6,0.6185337382508717
2007-7,0.6188502384035375
2007-8,0.6191667385562033
2007-9,0.6194832387088691
2007-10,0.6197997388615348
2007-11,0.6201162390142007
2007-12,0.6204327391668665
2008-1,0.6207492393195323
2008-2,0.6210448656320364
2008-3,0.6213404919445407
2008-4,0.6216361182570448
2008-5,0.6219317445695489
2008-6,0.6222273708820532
2008-7,0.6225229971945573
2008-8,0.6228186235070614
2008-9,0.6231142498195656
2008-10,0.6234098761320698
2008-11,0.6237055024445739
2008-12,0.6240011287570781
2009-1,0.6242967550695823
2009-2,0.6245712393409064
2009-3,0.6248457236122305
2009-4,0.6251202078835546
2009-5,0.6253946921548788
2009-6,0.6256691764262029
2009-7,0.625943660697527
2009-8,0.6262181449688511
2009-9,0.6264926292401752
2009-10,0.6267671135114994
2009-11,0.6270415977828234
2009-12,0.6273160820541476
2010-1,0.6275905663254717
2010-2,0.6278436403545974
2010-3,0.628096714383723
2010-4,0.6283497884128488
2010-5,0.6286028624419745
2010-6,0.6288559364711002
2010-7,0.6291090105002259
2010-8,0.6293620845293516
2010-9,0.6296151585584773
2010-10,0.6298682325876029
2010-11,0.6301213066167286
2010-12,0.6303743806458544
2011-1,0.63062745467498
2011-2,0.6308587272792255
2011-3,0.631089999883471
2011-4,0.6313212724877165
2011-5,0.631552545091962
2011-6,0.6317838176962075
2011-7,0.632015090300453
2011-8,0.6322463629046985
2011-9,0.632477635508944
2011-10,0.6327089081131895
2011-11,0.632940180717435
2011-12,0.6331714533216805
2012-1,0.633402725925926
2012-2,0.6335860781893005
2012-3,0.6337694304526749
2012-4,0.6339527827160494
2012-5,0.6341361349794239
2012-6,0.6343194872427984
2012-7,0.6345028395061729
2012-8,0.6346861917695473
2012-9,0.6348695440329218
2012-10,0.6350528962962964
2012-11,0.6352362485596708
2012-12,0.6354196008230453
2013-1,0.6356029530864198
2013-2,0.6358640847050755
2013-3,0.6361252163237312
2013-4,0.6363863479423869
2013-5,0.6366474795610426
2013-6,0.6369086111796983
2013-7,0.637169742798354
2013-8,0.6374308744170096
2013-9,0.6376920060356653
2013-10,0.637953137654321
2013-11,0.6382142692729768
2013-12,0.6384754008916325
2014-1,0.6387365325102882
2014-2,0.6388319250971651
2014-3,0.6389273176840422
2014-4,0.6390227102709192
2014-5,0.6391181028577961
2014-6,0.6392134954446732
2014-7,0.6393088880315502
2014-8,0.6394042806184271
2014-9,0.6394996732053042
2014-10,0.6395950657921812
2014-11,0.6396904583790581
2014-12,0.6397858509659352
2015-1,0.6398812435528122
2015-2,0.640804953977013
2015-3,0.6417286644012139
2015-4,0.6426523748254147
2015-5,0.6435760852496156
2015-6,0.6444997956738164
2015-7,0.6454235060980174
2015-8,0.6463472165222182
2015-9,0.647270926946419
2015-10,0.6481946373706199
2015-11,0.6491183477948207
2015-12,0.6500420582190216
2016-1,0.6509657686432224
2016-2,0.6511624790117316
2016-3,0.651359189380241
2016-4,0.6515558997487503
2016-5,0.6517526101172595
2016-6,0.6519493204857687
2016-7,0.652146030854278
2016-8,0.6523427412227873
2016-9,0.6525394515912966
2016-10,0.6527361619598058
2016-11,0.6529328723283151
2016-12,0.6531295826968244
2017-1,0.6533262930653336
2017-2,0.6534348255885558
2017-3,0.6535433581117781
2017-4,0.6536518906350003
2017-5,0.6537604231582225
2017-6,0.6538689556814448
2017-7,0.653977488204667
2017-8,0.6540860207278891
2017-9,0.6541945532511114
2017-10,0.6543030857743336
2017-11,0.6544116182975558
2017-12,0.6545201508207781
2018-1,0.6546286833440003
2018-2,0.6545879915511518
2018-3,0.6545472997583033
2018-4,0.6545066079654548
2018-5,0.6544659161726063
2018-6,0.6544252243797578
2018-7,0.6543845325869093
2018-8,0.6543438407940609
2018-9,0.6543031490012124
2018-10,0.654262457208364
2018-11,0.6542217654155155
2018-12,0.654181073622667
2019-1,0.6541403818298185
2019-2,0.6542550816921656
2019-3,0.6543697815545128
2019-4,0.6544844814168598
2019-5,0.6545991812792069
2019-6,0.654713881141554
2019-7,0.6548285810039012
2019-8,0.6549432808662483
2019-9,0.6550579807285954
2019-10,0.6551726805909426
2019-11,0.6552873804532896
2019-12,0.6554020803156367
2020-1,0.6555167801779839
2020-2,0.6553161497247868
2020-3,0.6551155192715896
2020-4,0.6549148888183925
2020-5,0.6547142583651955
2020-6,0.6545136279119984
2020-7,0.6543129974588013
2020-8,0.6541123670056042
2020-9,0.6539117365524071
2020-10,0.65371110609921
2020-11,0.6535104756460128
2020-12,0.6533098451928158
2021-1,0.6531092147396187
2021-2,0.6528751936391612
2021-3,0.6526411725387038
2021-4,0.6524071514382463
2021-5,0.6521731303377889
2021-6,0.6519391092373314
2021-7,0.651705088136874
2021-8,0.6514710670364167
2021-9,0.6512370459359592
2021-10,0.6510030248355018
2021-11,0.6507690037350443
2021-12,0.6505349826345869
2022-1,0.6503009615341294
