,Espírito Santo - IDH Educacao
2003-1,0.6980316182050477
2003-2,0.6982947955540466
2003-3,0.6985579729030457
2003-4,0.6988211502520446
2003-5,0.6990843276010436
2003-6,0.6993475049500426
2003-7,0.6996106822990416
2003-8,0.6998738596480405
2003-9,0.7001370369970396
2003-10,0.7004002143460385
2003-11,0.7006633916950374
2003-12,0.7009265690440365
2004-1,0.7011897463930354
2004-2,0.7014456436495139
2004-3,0.7017015409059923
2004-4,0.7019574381624708
2004-5,0.7022133354189493
2004-6,0.7024692326754277
2004-7,0.7027251299319062
2004-8,0.7029810271883846
2004-9,0.7032369244448631
2004-10,0.7034928217013415
2004-11,0.70374871895782
2004-12,0.7040046162142984
2005-1,0.7042605134707769
2005-2,0.7045086636135127
2005-3,0.7047568137562487
2005-4,0.7050049638989846
2005-5,0.7052531140417204
2005-6,0.7055012641844562
2005-7,0.7057494143271922
2005-8,0.7059975644699281
2005-9,0.7062457146126639
2005-10,0.7064938647553998
2005-11,0.7067420148981357
2005-12,0.7069901650408716
2006-1,0.7072383151836075
2006-2,0.7074782511913786
2006-3,0.7077181871991499
2006-4,0.7079581232069212
2006-5,0.7081980592146924
2006-6,0.7084379952224635
2006-7,0.7086779312302348
2006-8,0.7089178672380061
2006-9,0.7091578032457773
2006-10,0.7093977392535484
2006-11,0.7096376752613197
2006-12,0.709877611269091
2007-1,0.7101175472768622
2007-2,0.7103488021284466
2007-3,0.7105800569800311
2007-4,0.7108113118316157
2007-5,0.7110425666832002
2007-6,0.7112738215347847
2007-7,0.7115050763863692
2007-8,0.7117363312379537
2007-9,0.7119675860895381
2007-10,0.7121988409411226
2007-11,0.7124300957927072
2007-12,0.7126613506442917
2008-1,0.7128926054958762
2008-2,0.7131147121700518
2008-3,0.7133368188442276
2008-4,0.7135589255184033
2008-5,0.713781032192579
2008-6,0.7140031388667547
2008-7,0.7142252455409304
2008-8,0.7144473522151061
2008-9,0.7146694588892818
2008-10,0.7148915655634576
2008-11,0.7151136722376332
2008-12,0.715335778911809
2009-1,0.7155578855859847
2009-2,0.7157703770615295
2009-3,0.7159828685370744
2009-4,0.7161953600126192
2009-5,0.7164078514881641
2009-6,0.7166203429637089
2009-7,0.7168328344392538
2009-8,0.7170453259147986
2009-9,0.7172578173903434
2009-10,0.7174703088658884
2009-11,0.7176828003414332
2009-12,0.7178952918169781
2010-1,0.7181077832925229
2010-2,0.7183101925482148
2010-3,0.7185126018039067
2010-4,0.7187150110595987
2010-5,0.7189174203152906
2010-6,0.7191198295709825
2010-7,0.7193222388266745
2010-8,0.7195246480823663
2010-9,0.7197270573380582
2010-10,0.7199294665937501
2010-11,0.720131875849442
2010-12,0.720334285105134
2011-1,0.7205366943608259
2011-2,0.7207129899205438
2011-3,0.7208892854802618
2011-4,0.7210655810399798
2011-5,0.7212418765996976
2011-6,0.7214181721594155
2011-7,0.7215944677191335
2011-8,0.7217707632788515
2011-9,0.7219470588385694
2011-10,0.7221233543982872
2011-11,0.7222996499580052
2011-12,0.7224759455177232
2012-1,0.7226522410774411
2012-2,0.7228651038627011
2012-3,0.7230779666479611
2012-4,0.7232908294332211
2012-5,0.7235036922184811
2012-6,0.7237165550037411
