,Pará - IDH Educacao
2003-1,0.6144609398439814
2003-2,0.6147182918484335
2003-3,0.6149756438528857
2003-4,0.6152329958573379
2003-5,0.61549034786179
2003-6,0.6157476998662421
2003-7,0.6160050518706943
2003-8,0.6162624038751465
2003-9,0.6165197558795986
2003-10,0.6167771078840507
2003-11,0.6170344598885029
2003-12,0.6172918118929551
2004-1,0.6175491638974072
2004-2,0.6178167487705227
2004-3,0.6180843336436384
2004-4,0.6183519185167539
2004-5,0.6186195033898695
2004-6,0.618887088262985
2004-7,0.6191546731361006
2004-8,0.6194222580092161
2004-9,0.6196898428823316
2004-10,0.6199574277554473
2004-11,0.6202250126285628
2004-12,0.6204925975016784
2005-1,0.6207601823747939
2005-2,0.6210380723165944
2005-3,0.6213159622583948
2005-4,0.6215938522001953
2005-5,0.6218717421419957
2005-6,0.6221496320837961
2005-7,0.6224275220255966
2005-8,0.6227054119673969
2005-9,0.6229833019091974
2005-10,0.6232611918509978
2005-11,0.6235390817927983
2005-12,0.6238169717345987
2006-1,0.6240948616763992
2006-2,0.624383128886906
2006-3,0.6246713960974127
2006-4,0.6249596633079195
2006-5,0.6252479305184263
2006-6,0.6255361977289331
2006-7,0.6258244649394399
2006-8,0.6261127321499467
2006-9,0.6264009993604535
2006-10,0.6266892665709602
2006-11,0.626977533781467
2006-12,0.6272658009919738
2007-1,0.6275540682024806
2007-2,0.6278527848817153
2007-3,0.6281515015609498
2007-4,0.6284502182401843
2007-5,0.628748934919419
2007-6,0.6290476515986536
2007-7,0.6293463682778881
2007-8,0.6296450849571227
2007-9,0.6299438016363573
2007-10,0.630242518315592
2007-11,0.6305412349948265
2007-12,0.630839951674061
2008-1,0.6311386683532957
2008-2,0.6314479067012796
2008-3,0.6317571450492634
2008-4,0.6320663833972473
2008-5,0.6323756217452311
2008-6,0.632684860093215
2008-7,0.6329940984411988
2008-8,0.6333033367891827
2008-9,0.6336125751371666
2008-10,0.6339218134851504
2008-11,0.6342310518331343
2008-12,0.6345402901811181
2009-1,0.634849528529102
2009-2,0.6351693607458566
2009-3,0.6354891929626113
2009-4,0.6358090251793659
2009-5,0.6361288573961205
2009-6,0.6364486896128752
2009-7,0.6367685218296297
2009-8,0.6370883540463843
2009-9,0.637408186263139
2009-10,0.6377280184798936
2009-11,0.6380478506966482
2009-12,0.6383676829134028
2010-1,0.6386875151301574
2010-2,0.6390180134157042
2010-3,0.6393485117012511
2010-4,0.6396790099867979
2010-5,0.6400095082723447
2010-6,0.6403400065578915
2010-7,0.6406705048434383
2010-8,0.6410010031289852
2010-9,0.641331501414532
2010-10,0.6416619997000788
2010-11,0.6419924979856256
2010-12,0.6423229962711725
2011-1,0.6426534945567193
2011-2,0.642940958674748
2011-3,0.6432284227927767
2011-4,0.6435158869108054
2011-5,0.6438033510288341
2011-6,0.6440908151468628
2011-7,0.6443782792648916
2011-8,0.6446657433829204
2011-9,0.6449532075009491
2011-10,0.6452406716189778
2011-11,0.6455281357370065
2011-12,0.6458155998550352
2012-1,0.6461030639730639
2012-2,0.6465412796950991
2012-3,0.6469794954171343
2012-4,0.6474177111391695
2012-5,0.6478559268612046
2012-6,0.6482941425832398
2012-7,0.648732358305275
2012-8,0.6491705740273102
2012-9,0.6496087897493453
2012-10,0.6500470054713805
2012-11,0.6504852211934157
2012-12,0.6509234369154508
2013-1,0.651361652637486
2013-2,0.6517738863363575
2013-3,0.6521861200352289
2013-4,0.6525983537341002
2013-5,0.6530105874329717
2013-6,0.6534228211318431
2013-7,0.6538350548307146
2013-8,0.654247288529586
2013-9,0.6546595222284575
2013-10,0.6550717559273289
2013-11,0.6554839896262002
2013-12,0.6558962233250717
2014-1,0.6563084570239431
2014-2,0.6565397657532761
2014-3,0.656771074482609
2014-4,0.6570023832119419
2014-5,0.6572336919412749
2014-6,0.6574650006706078
2014-7,0.6576963093999407
2014-8,0.6579276181292737
2014-9,0.6581589268586066
2014-10,0.6583902355879395
2014-11,0.6586215443172725
2014-12,0.6588528530466053
2015-1,0.6590841617759383
2015-2,0.6597957644719619
2015-3,0.6605073671679854
2015-4,0.661218969864009
2015-5,0.6619305725600325
2015-6,0.6626421752560561
2015-7,0.6633537779520797
2015-8,0.6640653806481033
2015-9,0.6647769833441268
2015-10,0.6654885860401504
2015-11,0.6662001887361739
2015-12,0.6669117914321975
2016-1,0.667623394128221
2016-2,0.6678250865079802
2016-3,0.6680267788877395
2016-4,0.6682284712674988
2016-5,0.668430163647258
2016-6,0.6686318560270172
2016-7,0.6688335484067766
2016-8,0.6690352407865359
2016-9,0.6692369331662951
2016-10,0.6694386255460543
2016-11,0.6696403179258136
2016-12,0.6698420103055729
2017-1,0.6700437026853321
2017-2,0.6701425186147665
2017-3,0.6702413345442008
2017-4,0.670340150473635
2017-5,0.6704389664030694
2017-6,0.6705377823325038
2017-7,0.6706365982619381
2017-8,0.6707354141913724
2017-9,0.6708342301208068
2017-10,0.6709330460502412
2017-11,0.6710318619796755
2017-12,0.6711306779091097
2018-1,0.6712294938385441
2018-2,0.6712312324282301
2018-3,0.671232971017916
2018-4,0.6712347096076019
2018-5,0.6712364481972879
2018-6,0.6712381867869739
2018-7,0.6712399253766598
2018-8,0.6712416639663457
2018-9,0.6712434025560317
2018-10,0.6712451411457176
2018-11,0.6712468797354035
2018-12,0.6712486183250894
2019-1,0.6712503569147754
2019-2,0.6712067990126146
2019-3,0.6711632411104538
2019-4,0.6711196832082931
2019-5,0.6710761253061323
2019-6,0.6710325674039714
2019-7,0.6709890095018106
2019-8,0.6709454515996498
