,Santa Catarina - IDH Educacao
2003-1,0.7527470486540049
2003-2,0.7529540412435893
2003-3,0.7531610338331739
2003-4,0.7533680264227584
2003-5,0.7535750190123428
2003-6,0.7537820116019274
2003-7,0.7539890041915118
2003-8,0.7541959967810963
2003-9,0.7544029893706808
2003-10,0.7546099819602653
2003-11,0.7548169745498498
2003-12,0.7550239671394343
2004-1,0.7552309597290188
2004-2,0.7554323430194789
2004-3,0.7556337263099392
2004-4,0.7558351096003993
2004-5,0.7560364928908595
2004-6,0.7562378761813198
2004-7,0.7564392594717799
2004-8,0.7566406427622401
2004-9,0.7568420260527003
2004-10,0.7570434093431605
2004-11,0.7572447926336207
2004-12,0.7574461759240809
2005-1,0.7576475592145411
2005-2,0.7578428476205404
2005-3,0.7580381360265398
2005-4,0.758233424432539
2005-5,0.7584287128385384
2005-6,0.7586240012445378
2005-7,0.7588192896505371
2005-8,0.7590145780565365
2005-9,0.7592098664625359
2005-10,0.7594051548685352
2005-11,0.7596004432745345
2005-12,0.7597957316805338
2006-1,0.7599910200865332
2006-2,0.760179728022735
2006-3,0.760368435958937
2006-4,0.7605571438951388
2006-5,0.7607458518313408
2006-6,0.7609345597675427
2006-7,0.7611232677037445
2006-8,0.7613119756399465
2006-9,0.7615006835761483
2006-10,0.7616893915123503
2006-11,0.7618780994485521
2006-12,0.7620668073847541
2007-1,0.7622555153209559
2007-2,0.7624371572020238
2007-3,0.7626187990830917
2007-4,0.7628004409641596
2007-5,0.7629820828452275
2007-6,0.7631637247262953
2007-7,0.7633453666073633
2007-8,0.7635270084884311
2007-9,0.763708650369499
2007-10,0.7638902922505669
2007-11,0.7640719341316348
2007-12,0.7642535760127027
2008-1,0.7644352178937706
2008-2,0.7646093081343679
2008-3,0.7647833983749651
2008-4,0.7649574886155625
2008-5,0.7651315788561598
2008-6,0.765305669096757
2008-7,0.7654797593373543
2008-8,0.7656538495779517
2008-9,0.7658279398185489
2008-10,0.7660020300591462
2008-11,0.7661761202997436
2008-12,0.7663502105403408
2009-1,0.7665243007809381
2009-2,0.7666903537957283
2009-3,0.7668564068105184
2009-4,0.7670224598253086
2009-5,0.7671885128400987
2009-6,0.7673545658548888
2009-7,0.7675206188696789
2009-8,0.767686671884469
2009-9,0.7678527248992592
2009-10,0.7680187779140493
2009-11,0.7681848309288395
2009-12,0.7683508839436296
2010-1,0.7685169369584197
2010-2,0.7686744671620661
2010-3,0.7688319973657125
2010-4,0.7689895275693589
2010-5,0.7691470577730053
2010-6,0.7693045879766517
2010-7,0.7694621181802981
2010-8,0.7696196483839444
2010-9,0.7697771785875908
2010-10,0.7699347087912372
2010-11,0.7700922389948835
2010-12,0.7702497691985299
2011-1,0.7704072994021763
2011-2,0.7705153306248345
2011-3,0.7706233618474926
2011-4,0.7707313930701507
2011-5,0.7708394242928089
2011-6,0.7709474555154671
2011-7,0.7710554867381252
2011-8,0.7711635179607833
2011-9,0.7712715491834414
2011-10,0.7713795804060997
2011-11,0.7714876116287578
2011-12,0.7715956428514159
2012-1,0.771703674074074
2012-2,0.7719238384773662
2012-3,0.7721440028806584
2012-4,0.7723641672839505
2012-5,0.7725843316872427
2012-6,0.7728044960905349
2012-7,0.7730246604938271
2012-8,0.7732448248971193
2012-9,0.7734649893004115
2012-10,0.7736851537037037
2012-11,0.7739053181069958
2012-12,0.774125482510288
2013-1,0.7743456469135802
2013-2,0.7744661027949246
2013-3,0.7745865586762688
2013-4,0.7747070145576131
2013-5,0.7748274704389575
2013-6,0.7749479263203018
2013-7,0.7750683822016462
2013-8,0.7751888380829904
2013-9,0.7753092939643348
2013-10,0.7754297498456791
2013-11,0.7755502057270234
2013-12,0.7756706616083677
2014-1,0.7757911174897121
2014-2,0.7758452224722795
2014-3,0.7758993274548469
2014-4,0.7759534324374143
2014-5,0.7760075374199817
2014-6,0.7760616424025492
2014-7,0.7761157473851166
2014-8,0.7761698523676841
2014-9,0.7762239573502515
2014-10,0.7762780623328189
2014-11,0.7763321673153863
2014-12,0.7763862722979538
2015-1,0.7764403772805212
2015-2,0.7769285338386436
2015-3,0.777416690396766
2015-4,0.7779048469548884
2015-5,0.7783930035130107
2015-6,0.7788811600711331
2015-7,0.7793693166292555
2015-8,0.7798574731873779
2015-9,0.7803456297455003
2015-10,0.7808337863036225
2015-11,0.781321942861745
2015-12,0.7818100994198673
2016-1,0.7822982559779897
2016-2,0.7822777882202473
2016-3,0.7822573204625047
2016-4,0.7822368527047623
2016-5,0.7822163849470197
2016-6,0.7821959171892773
2016-7,0.7821754494315347
2016-8,0.7821549816737923
2016-9,0.7821345139160498
2016-10,0.7821140461583073
2016-11,0.7820935784005648
2016-12,0.7820731106428223
2017-1,0.7820526428850798
2017-2,0.7820833447251183
2017-3,0.7821140465651568
2017-4,0.7821447484051952
2017-5,0.7821754502452337
2017-6,0.7822061520852722
2017-7,0.7822368539253106
2017-8,0.7822675557653491
2017-9,0.7822982576053876
2017-10,0.7823289594454261
2017-11,0.7823596612854646
2017-12,0.782390363125503
2018-1,0.7824210649655415
2018-2,0.7824394063667957
2018-3,0.7824577477680498
2018-4,0.7824760891693039
2018-5,0.7824944305705579
2018-6,0.782512771971812
2018-7,0.7825311133730661
2018-8,0.7825494547743203
2018-9,0.7825677961755744
2018-10,0.7825861375768284
2018-11,0.7826044789780825
2018-12,0.7826228203793366
2019-1,0.7826411617805907
2019-2,0.7825551099758983
2019-3,0.7824690581712057
2019-4,0.7823830063665133
2019-5,0.7822969545618208
2019-6,0.7822109027571283
2019-7,0.7821248509524359
2019-8,0.7820387991477433
2019-9,0.7819527473430509
2019-10,0.7818666955383584
2019-11,0.7817806437336658
2019-12,0.7816945919289734
2020-1,0.7816085401242809
2020-2,0.7815449684585558
2020-3,0.7814813967928307
2020-4,0.7814178251271054
2020-5,0.7813542534613803
2020-6,0.7812906817956552
2020-7,0.78122711012993
2020-8,0.7811635384642048
2020-9,0.7810999667984797
