,Minas Gerais - IDH Educacao
2003-1,0.6989289279900401
2003-2,0.69924990778552
2003-3,0.6995708875809997
2003-4,0.6998918673764796
2003-5,0.7002128471719594
2003-6,0.7005338269674392
2003-7,0.700854806762919
2003-8,0.7011757865583989
2003-9,0.7014967663538786
2003-10,0.7018177461493584
2003-11,0.7021387259448383
2003-12,0.702459705740318
2004-1,0.7027806855357979
2004-2,0.7030973691593139
2004-3,0.7034140527828299
2004-4,0.7037307364063459
2004-5,0.704047420029862
2004-6,0.704364103653378
2004-7,0.704680787276894
2004-8,0.70499747090041
2004-9,0.705314154523926
2004-10,0.7056308381474421
2004-11,0.7059475217709581
2004-12,0.7062642053944741
2005-1,0.7065808890179901
2005-2,0.7068928621110515
2005-3,0.7072048352041129
2005-4,0.7075168082971743
2005-5,0.7078287813902359
2005-6,0.7081407544832973
2005-7,0.7084527275763587
2005-8,0.7087647006694201
2005-9,0.7090766737624815
2005-10,0.709388646855543
2005-11,0.7097006199486044
2005-12,0.7100125930416659
2006-1,0.7103245661347273
2006-2,0.7106314143388434
2006-3,0.7109382625429594
2006-4,0.7112451107470755
2006-5,0.7115519589511916
2006-6,0.7118588071553077
2006-7,0.7121656553594238
2006-8,0.7124725035635399
2006-9,0.7127793517676559
2006-10,0.713086199971772
2006-11,0.7133930481758881
2006-12,0.7136998963800042
2007-1,0.7140067445841203
2007-2,0.7143080535408002
2007-3,0.7146093624974801
2007-4,0.71491067145416
2007-5,0.71521198041084
2007-6,0.7155132893675199
2007-7,0.7158145983241998
2007-8,0.7161159072808797
2007-9,0.7164172162375596
2007-10,0.7167185251942396
2007-11,0.7170198341509195
2007-12,0.7173211431075994
2008-1,0.7176224520642793
2008-2,0.7179178074150323
2008-3,0.7182131627657853
2008-4,0.7185085181165383
2008-5,0.7188038734672914
2008-6,0.7190992288180443
2008-7,0.7193945841687973
2008-8,0.7196899395195503
2008-9,0.7199852948703033
2008-10,0.7202806502210564
2008-11,0.7205760055718093
2008-12,0.7208713609225623
2009-1,0.7211667162733153
2009-2,0.7214557036596506
2009-3,0.7217446910459859
2009-4,0.7220336784323211
2009-5,0.7223226658186565
2009-6,0.7226116532049918
2009-7,0.722900640591327
2009-8,0.7231896279776623
2009-9,0.7234786153639976
2009-10,0.7237676027503329
2009-11,0.7240565901366682
2009-12,0.7243455775230034
2010-1,0.7246345649093388
2010-2,0.7249167699727656
2010-3,0.7251989750361924
2010-4,0.7254811800996191
2010-5,0.725763385163046
2010-6,0.7260455902264727
2010-7,0.7263277952898994
2010-8,0.7266100003533262
2010-9,0.726892205416753
2010-10,0.7271744104801798
2010-11,0.7274566155436066
2010-12,0.7277388206070334
2011-1,0.7280210256704602
2011-2,0.7282556932843416
2011-3,0.728490360898223
2011-4,0.7287250285121044
2011-5,0.7289596961259859
2011-6,0.7291943637398672
2011-7,0.7294290313537486
2011-8,0.7296636989676301
2011-9,0.7298983665815114
2011-10,0.7301330341953929
2011-11,0.7303677018092742
2011-12,0.7306023694231557
2012-1,0.7308370370370371
2012-2,0.7311692386831276
2012-3,0.7315014403292182
2012-4,0.7318336419753086
2012-5,0.7321658436213992
2012-6,0.7324980452674897
2012-7,0.7328302469135803
2012-8,0.7331624485596708
2012-9,0.7334946502057613
2012-10,0.7338268518518519
2012-11,0.7341590534979424
2012-12,0.734491255144033
2013-1,0.7348234567901235
2013-2,0.7351208419067216
2013-3,0.7354182270233197
2013-4,0.7357156121399178
2013-5,0.7360129972565158
2013-6,0.736310382373114
2013-7,0.736607767489712
2013-8,0.7369051526063101
2013-9,0.7372025377229082
2013-10,0.7374999228395063
2013-11,0.7377973079561043
2013-12,0.7380946930727025
2014-1,0.7383920781893005
2014-2,0.7385336898433928
2014-3,0.7386753014974853
2014-4,0.7388169131515776
2014-5,0.7389585248056699
2014-6,0.7391001364597624
2014-7,0.7392417481138547
2014-8,0.739383359767947
2014-9,0.7395249714220394
2014-10,0.7396665830761318
2014-11,0.7398081947302241
2014-12,0.7399498063843165
2015-1,0.7400914180384088
2015-2,0.7408727694901692
2015-3,0.7416541209419296
2015-4,0.7424354723936901
2015-5,0.7432168238454505
2015-6,0.7439981752972109
2015-7,0.7447795267489713
2015-8,0.7455608782007317
2015-9,0.7463422296524921
2015-10,0.7471235811042525
2015-11,0.747904932556013
2015-12,0.7486862840077734
2016-1,0.7494676354595338
2016-2,0.7495469357281666
2016-3,0.7496262359967993
2016-4,0.7497055362654322
2016-5,0.749784836534065
2016-6,0.7498641368026978
2016-7,0.7499434370713307
2016-8,0.7500227373399635
2016-9,0.7501020376085963
2016-10,0.7501813378772291
2016-11,0.7502606381458619
2016-12,0.7503399384144948
2017-1,0.7504192386831275
2017-2,0.7504072632186058
2017-3,0.750395287754084
2017-4,0.7503833122895622
2017-5,0.7503713368250405
2017-6,0.7503593613605188
2017-7,0.750347385895997
2017-8,0.7503354104314752
2017-9,0.7503234349669535
2017-10,0.7503114595024318
2017-11,0.75029948403791
2017-12,0.7502875085733882
2018-1,0.7502755331088665
2018-2,0.7502927719960549
2018-3,0.7503100108832432
2018-4,0.7503272497704316
2018-5,0.75034448865762
2018-6,0.7503617275448085
2018-7,0.7503789664319969
2018-8,0.7503962053191852
2018-9,0.7504134442063736
2018-10,0.750430683093562
2018-11,0.7504479219807503
2018-12,0.7504651608679387
2019-1,0.7504823997551271
2019-2,0.7503345391472114
2019-3,0.7501866785392957
2019-4,0.7500388179313799
2019-5,0.7498909573234643
2019-6,0.7497430967155486
2019-7,0.7495952361076329
2019-8,0.7494473754997172
2019-9,0.7492995148918015
2019-10,0.7491516542838859
2019-11,0.7490037936759701
2019-12,0.7488559330680544
2020-1,0.7487080724601387
2020-2,0.7485694972515033
2020-3,0.7484309220428681
2020-4,0.7482923468342327
2020-5,0.7481537716255975
2020-6,0.7480151964169621
2020-7,0.7478766212083268
2020-8,0.7477380459996915
2020-9,0.7475994707910562
2020-10,0.7474608955824209
2020-11,0.7473223203737855
2020-12,0.7471837451651503
2021-1,0.7470451699565149
2021-2,0.7469318757895188
2021-3,0.7468185816225227
2021-4,0.7467052874555267
2021-5,0.7465919932885305
2021-6,0.7464786991215344
2021-7,0.7463654049545383
2021-8,0.7462521107875422
2021-9,0.746138816620546
2021-10,0.7460255224535499
2021-11,0.7459122282865539
2021-12,0.7457989341195578
2022-1,0.7456856399525617
