,Goiás - IDH Educacao
2003-1,0.7065139644041851
2003-2,0.7068655852762333
2003-3,0.7072172061482815
2003-4,0.7075688270203297
2003-5,0.707920447892378
2003-6,0.7082720687644262
2003-7,0.7086236896364744
2003-8,0.7089753105085226
2003-9,0.7093269313805708
2003-10,0.709678552252619
2003-11,0.7100301731246672
2003-12,0.7103817939967154
2004-1,0.7107334148687636
2004-2,0.711075713171077
2004-3,0.7114180114733903
2004-4,0.7117603097757038
2004-5,0.7121026080780172
2004-6,0.7124449063803305
2004-7,0.712787204682644
2004-8,0.7131295029849574
2004-9,0.7134718012872707
2004-10,0.7138140995895841
2004-11,0.7141563978918974
2004-12,0.7144986961942109
2005-1,0.7148409944965243
2005-2,0.7151732160519761
2005-3,0.7155054376074281
2005-4,0.71583765916288
2005-5,0.7161698807183319
2005-6,0.7165021022737839
2005-7,0.7168343238292357
2005-8,0.7171665453846876
2005-9,0.7174987669401396
2005-10,0.7178309884955915
2005-11,0.7181632100510433
2005-12,0.7184954316064953
2006-1,0.7188276531619472
2006-2,0.7191490437934109
2006-3,0.7194704344248747
2006-4,0.7197918250563384
2006-5,0.7201132156878022
2006-6,0.7204346063192659
2006-7,0.7207559969507296
2006-8,0.7210773875821933
2006-9,0.721398778213657
2006-10,0.7217201688451208
2006-11,0.7220415594765845
2006-12,0.7223629501080483
2007-1,0.722684340739512
2007-2,0.7229941462698609
2007-3,0.7233039518002099
2007-4,0.7236137573305588
2007-5,0.7239235628609076
2007-6,0.7242333683912566
2007-7,0.7245431739216055
2007-8,0.7248529794519544
2007-9,0.7251627849823034
2007-10,0.7254725905126522
2007-11,0.7257823960430011
2007-12,0.7260922015733501
2008-1,0.726402007103699
2008-2,0.7266994733558063
2008-3,0.7269969396079138
2008-4,0.7272944058600211
2008-5,0.7275918721121285
2008-6,0.727889338364236
2008-7,0.7281868046163433
2008-8,0.7284842708684507
2008-9,0.7287817371205582
2008-10,0.7290792033726655
2008-11,0.7293766696247729
2008-12,0.7296741358768803
2009-1,0.7299716021289877
2009-2,0.7302559749257269
2009-3,0.7305403477224661
2009-4,0.7308247205192053
2009-5,0.7311090933159445
2009-6,0.7313934661126837
2009-7,0.731677838909423
2009-8,0.7319622117061623
2009-9,0.7322465845029015
2009-10,0.7325309572996407
2009-11,0.7328153300963799
2009-12,0.7330997028931191
2010-1,0.7333840756898583
2010-2,0.7336546008541026
2010-3,0.733925126018347
2010-4,0.7341956511825913
2010-5,0.7344661763468358
2010-6,0.7347367015110801
2010-7,0.7350072266753245
2010-8,0.7352777518395688
2010-9,0.7355482770038131
2010-10,0.7358188021680575
2010-11,0.7360893273323018
2010-12,0.7363598524965462
2011-1,0.7366303776607905
2011-2,0.7368619198141982
2011-3,0.7370934619676061
2011-4,0.7373250041210138
2011-5,0.7375565462744215
2011-6,0.7377880884278293
2011-7,0.738019630581237
2011-8,0.7382511727346447
2011-9,0.7384827148880525
2011-10,0.7387142570414602
2011-11,0.7389457991948679
2011-12,0.7391773413482757
2012-1,0.7394088835016834
2012-2,0.7396964451926673
2012-3,0.7399840068836513
2012-4,0.7402715685746352
2012-5,0.7405591302656191
2012-6,0.740846691956603
2012-7,0.7411342536475869
2012-8,0.7414218153385709
2012-9,0.7417093770295548
2012-10,0.7419969387205387
2012-11,0.7422845004115226
2012-12,0.7425720621025066
2013-1,0.7428596237934905
2013-2,0.7430878156253897
2013-3,0.743316007457289
2013-4,0.7435441992891882
2013-5,0.7437723911210874
2013-6,0.7440005829529867
2013-7,0.7442287747848859
2013-8,0.7444569666167852
2013-9,0.7446851584486844
2013-10,0.7449133502805836
2013-11,0.7451415421124828
2013-12,0.7453697339443821
2014-1,0.7455979257762814
2014-2,0.7457548558163944
2014-3,0.7459117858565075
2014-4,0.7460687158966206
2014-5,0.7462256459367336
2014-6,0.7463825759768467
2014-7,0.7465395060169597
2014-8,0.7466964360570728
2014-9,0.7468533660971859
2014-10,0.7470102961372989
2014-11,0.7471672261774119
2014-12,0.747324156217525
2015-1,0.7474810862576381
2015-2,0.7484133254280554
2015-3,0.7493455645984726
2015-4,0.7502778037688898
2015-5,0.751210042939307
2015-6,0.7521422821097243
2015-7,0.7530745212801415
2015-8,0.7540067604505587
2015-9,0.754938999620976
2015-10,0.7558712387913933
2015-11,0.7568034779618105
2015-12,0.7577357171322276
2016-1,0.7586679563026449
2016-2,0.758703319607968
2016-3,0.758738682913291
2016-4,0.7587740462186141
2016-5,0.7588094095239372
2016-6,0.7588447728292602
2016-7,0.7588801361345834
2016-8,0.7589154994399064
2016-9,0.7589508627452295
2016-10,0.7589862260505525
2016-11,0.7590215893558756
2016-12,0.7590569526611987
2017-1,0.7590923159665217
2017-2,0.7592142274511166
2017-3,0.7593361389357114
2017-4,0.7594580504203063
2017-5,0.7595799619049012
2017-6,0.759701873389496
2017-7,0.7598237848740909
2017-8,0.7599456963586857
2017-9,0.7600676078432805
2017-10,0.7601895193278754
2017-11,0.7603114308124703
2017-12,0.7604333422970652
2018-1,0.76055525378166
2018-2,0.7605821875224301
2018-3,0.7606091212632002
2018-4,0.7606360550039705
2018-5,0.7606629887447406
2018-6,0.7606899224855107
2018-7,0.7607168562262809
2018-8,0.760743789967051
2018-9,0.7607707237078212
2018-10,0.7607976574485913
2018-11,0.7608245911893614
2018-12,0.7608515249301316
2019-1,0.7608784586709018
2019-2,0.7608093560850753
2019-3,0.7607402534992488
2019-4,0.7606711509134223
2019-5,0.7606020483275958
2019-6,0.7605329457417693
2019-7,0.7604638431559427
2019-8,0.7603947405701162
