,Rondônia - IDH Educacao
2003-1,0.6360822676834699
2003-2,0.6363927269476543
2003-3,0.6367031862118386
2003-4,0.6370136454760229
2003-5,0.6373241047402073
2003-6,0.6376345640043917
2003-7,0.637945023268576
2003-8,0.6382554825327604
2003-9,0.6385659417969448
2003-10,0.6388764010611292
2003-11,0.6391868603253135
2003-12,0.6394973195894978
2004-1,0.6398077788536822
2004-2,0.6401223923434256
2004-3,0.6404370058331691
2004-4,0.6407516193229125
2004-5,0.641066232812656
2004-6,0.6413808463023993
2004-7,0.6416954597921427
2004-8,0.6420100732818862
2004-9,0.6423246867716296
2004-10,0.6426393002613731
2004-11,0.6429539137511164
2004-12,0.6432685272408599
2005-1,0.6435831407306033
2005-2,0.6439021561295547
2005-3,0.6442211715285061
2005-4,0.6445401869274575
2005-5,0.6448592023264089
2005-6,0.6451782177253603
2005-7,0.6454972331243116
2005-8,0.645816248523263
2005-9,0.6461352639222144
2005-10,0.6464542793211658
2005-11,0.6467732947201172
2005-12,0.6470923101190686
2006-1,0.64741132551802
2006-2,0.6477349905098283
2006-3,0.6480586555016365
2006-4,0.6483823204934449
2006-5,0.6487059854852532
2006-6,0.6490296504770614
2006-7,0.6493533154688697
2006-8,0.6496769804606779
2006-9,0.6500006454524861
2006-10,0.6503243104442944
2006-11,0.6506479754361028
2006-12,0.650971640427911
2007-1,0.6512953054197193
2007-2,0.6516238676880333
2007-3,0.6519524299563473
2007-4,0.6522809922246614
2007-5,0.6526095544929754
2007-6,0.6529381167612894
2007-7,0.6532666790296036
2007-8,0.6535952412979176
2007-9,0.6539238035662316
2007-10,0.6542523658345456
2007-11,0.6545809281028596
2007-12,0.6549094903711737
2008-1,0.6552380526394878
2008-2,0.6555717598679565
2008-3,0.6559054670964253
2008-4,0.656239174324894
2008-5,0.6565728815533627
2008-6,0.6569065887818314
2008-7,0.6572402960103001
2008-8,0.6575740032387689
2008-9,0.6579077104672376
2008-10,0.6582414176957063
2008-11,0.6585751249241751
2008-12,0.6589088321526438
2009-1,0.6592425393811125
2009-2,0.6595816392533849
2009-3,0.6599207391256572
2009-4,0.6602598389979295
2009-5,0.6605989388702019
2009-6,0.6609380387424743
2009-7,0.6612771386147466
2009-8,0.6616162384870189
2009-9,0.6619553383592912
2009-10,0.6622944382315636
2009-11,0.662633538103836
2009-12,0.6629726379761083
2010-1,0.6633117378483806
2010-2,0.6636564780481055
2010-3,0.6640012182478303
2010-4,0.6643459584475551
2010-5,0.6646906986472799
2010-6,0.6650354388470048
2010-7,0.6653801790467296
2010-8,0.6657249192464545
2010-9,0.6660696594461794
2010-10,0.6664143996459042
2010-11,0.666759139845629
2010-12,0.6671038800453538
2011-1,0.6674486202450787
2011-2,0.6678457829238698
2011-3,0.668242945602661
2011-4,0.668640108281452
2011-5,0.6690372709602432
2011-6,0.6694344336390343
2011-7,0.6698315963178254
2011-8,0.6702287589966166
2011-9,0.6706259216754077
2011-10,0.6710230843541989
2011-11,0.67142024703299
2011-12,0.6718174097117812
2012-1,0.6722145723905723
2012-2,0.6724591180321735
2012-3,0.6727036636737747
2012-4,0.6729482093153758
2012-5,0.6731927549569771
2012-6,0.6734373005985783
2012-7,0.6736818462401795
2012-8,0.6739263918817806
2012-9,0.6741709375233819
2012-10,0.6744154831649831
2012-11,0.6746600288065843
