Ano,Sergipe - IDH Educacao
2008,0.6207492393195323
2009,0.6242967550695823
2010,0.6275905663254717
2011,0.63062745467498
2012,0.633402725925926
2013,0.6356029530864198
2014,0.6387365325102882
2015,0.6398812435528122
2016,0.6509657686432224
2017,0.6533262930653336
2018,0.6546286833440003
2019,0.6541403818298185
2020,0.6555167801779839
2021,0.6531092147396187
2022,0.6503009615341294
