,Amapá - IDH Educacao
2003-1,0.6766746128864007
2003-2,0.676859224113958
2003-3,0.6770438353415154
2003-4,0.6772284465690727
2003-5,0.67741305779663
2003-6,0.6775976690241873
2003-7,0.6777822802517446
2003-8,0.677966891479302
2003-9,0.6781515027068593
2003-10,0.6783361139344166
2003-11,0.6785207251619739
2003-12,0.6787053363895312
2004-1,0.6788899476170885
2004-2,0.6790606788100789
2004-3,0.6792314100030694
2004-4,0.6794021411960598
2004-5,0.6795728723890503
2004-6,0.6797436035820407
2004-7,0.6799143347750312
2004-8,0.6800850659680215
2004-9,0.6802557971610119
2004-10,0.6804265283540024
2004-11,0.6805972595469928
2004-12,0.6807679907399833
2005-1,0.6809387219329737
2005-2,0.6810945809581128
2005-3,0.6812504399832521
2005-4,0.6814062990083912
2005-5,0.6815621580335305
2005-6,0.6817180170586696
2005-7,0.6818738760838088
2005-8,0.682029735108948
2005-9,0.6821855941340872
2005-10,0.6823414531592265
2005-11,0.6824973121843656
2005-12,0.6826531712095049
2006-1,0.682809030234644
2006-2,0.6829490249586476
2006-3,0.6830890196826512
2006-4,0.6832290144066548
2006-5,0.6833690091306585
2006-6,0.6835090038546621
2006-7,0.6836489985786656
2006-8,0.6837889933026692
2006-9,0.6839289880266728
2006-10,0.6840689827506764
2006-11,0.68420897747468
2006-12,0.6843489721986836
2007-1,0.6844889669226872
2007-2,0.6846121052122709
2007-3,0.6847352435018546
2007-4,0.6848583817914382
2007-5,0.684981520081022
2007-6,0.6851046583706056
2007-7,0.6852277966601893
2007-8,0.685350934949773
2007-9,0.6854740732393566
2007-10,0.6855972115289404
2007-11,0.685720349818524
2007-12,0.6858434881081077
2008-1,0.6859666263976913
2008-2,0.6860719161195707
2008-3,0.6861772058414501
2008-4,0.6862824955633295
2008-5,0.6863877852852089
2008-6,0.6864930750070883
2008-7,0.6865983647289677
2008-8,0.686703654450847
2008-9,0.6868089441727264
2008-10,0.6869142338946058
2008-11,0.6870195236164852
2008-12,0.6871248133383646
2009-1,0.687230103060244
2009-2,0.6873165520811347
2009-3,0.6874030011020256
2009-4,0.6874894501229163
2009-5,0.687575899143807
2009-6,0.6876623481646977
2009-7,0.6877487971855885
2009-8,0.6878352462064793
2009-9,0.68792169522737
2009-10,0.6880081442482607
2009-11,0.6880945932691516
2009-12,0.6881810422900423
2010-1,0.688267491310933
2010-2,0.6883341074975508
2010-3,0.6884007236841686
2010-4,0.6884673398707863
2010-5,0.6885339560574041
2010-6,0.6886005722440219
2010-7,0.6886671884306397
2010-8,0.6887338046172574
2010-9,0.6888004208038753
2010-10,0.688867036990493
2010-11,0.6889336531771107
2010-12,0.6890002693637286
2011-1,0.6890668855503463
2011-2,0.6890465878487603
2011-3,0.6890262901471741
2011-4,0.689005992445588
2011-5,0.688985694744002
2011-6,0.6889653970424158
2011-7,0.6889450993408297
2011-8,0.6889248016392436
2011-9,0.6889045039376575
2011-10,0.6888842062360714
2011-11,0.6888639085344853
2011-12,0.6888436108328991
2012-1,0.6888233131313131
2012-2,0.6890304194725028
2012-3,0.6892375258136925
