,São Paulo - IDH Educacao
2003-1,0.7946757734632697
2003-2,0.7949574172277465
2003-3,0.7952390609922233
2003-4,0.7955207047567001
2003-5,0.7958023485211768
2003-6,0.7960839922856536
2003-7,0.7963656360501304
2003-8,0.7966472798146073
2003-9,0.7969289235790841
2003-10,0.7972105673435608
2003-11,0.7974922111080376
2003-12,0.7977738548725144
2004-1,0.7980554986369912
2004-2,0.7983241934419862
2004-3,0.7985928882469814
2004-4,0.7988615830519764
2004-5,0.7991302778569714
2004-6,0.7993989726619666
2004-7,0.7996676674669616
2004-8,0.7999363622719566
2004-9,0.8002050570769518
2004-10,0.8004737518819468
2004-11,0.8007424466869418
2004-12,0.801011141491937
2005-1,0.801279836296932
2005-2,0.8015351665572914
2005-3,0.8017904968176509
2005-4,0.8020458270780104
2005-5,0.8023011573383698
2005-6,0.8025564875987292
2005-7,0.8028118178590887
2005-8,0.8030671481194482
2005-9,0.8033224783798076
2005-10,0.803577808640167
2005-11,0.8038331389005265
2005-12,0.804088469160886
2006-1,0.8043437994212455
2006-2,0.8045853495518154
2006-3,0.8048268996823853
2006-4,0.8050684498129552
2006-5,0.8053099999435253
2006-6,0.8055515500740952
2006-7,0.8057931002046651
2006-8,0.806034650335235
2006-9,0.806276200465805
2006-10,0.806517750596375
2006-11,0.8067593007269449
2006-12,0.8070008508575148
2007-1,0.8072424009880848
2007-2,0.8074697554037114
2007-3,0.8076971098193378
2007-4,0.8079244642349644
2007-5,0.8081518186505909
2007-6,0.8083791730662175
2007-7,0.8086065274818441
2007-8,0.8088338818974706
2007-9,0.8090612363130972
2007-10,0.8092885907287237
2007-11,0.8095159451443503
2007-12,0.8097432995599768
2008-1,0.8099706539756034
2008-2,0.8101833970911327
2008-3,0.810396140206662
2008-4,0.8106088833221913
2008-5,0.8108216264377206
2008-6,0.8110343695532498
2008-7,0.8112471126687791
2008-8,0.8114598557843085
2008-9,0.8116725988998377
2008-10,0.811885342015367
2008-11,0.8120980851308963
2008-12,0.8123108282464255
2009-1,0.8125235713619549
2009-2,0.8127212875922329
2009-3,0.8129190038225111
2009-4,0.8131167200527892
2009-5,0.8133144362830674
2009-6,0.8135121525133455
2009-7,0.8137098687436237
2009-8,0.8139075849739018
2009-9,0.8141053012041799
2009-10,0.8143030174344581
2009-11,0.8145007336647362
2009-12,0.8146984498950144
2010-1,0.8148961661252925
2010-2,0.8150784398851656
2010-3,0.8152607136450387
2010-4,0.8154429874049118
2010-5,0.8156252611647848
2010-6,0.815807534924658
2010-7,0.8159898086845311
2010-8,0.8161720824444042
2010-9,0.8163543562042773
2010-10,0.8165366299641503
2010-11,0.8167189037240234
2010-12,0.8169011774838966
2011-1,0.8170834512437697
2011-2,0.8172283191956777
2011-3,0.8173731871475859
2011-4,0.8175180550994939
2011-5,0.817662923051402
2011-6,0.8178077910033101
2011-7,0.8179526589552182
2011-8,0.8180975269071262
2011-9,0.8182423948590344
2011-10,0.8183872628109424
2011-11,0.8185321307628505
2011-12,0.8186769987147586
2012-1,0.8188218666666667
2012-2,0.8190081296296297
2012-3,0.8191943925925926
2012-4,0.8193806555555556
2012-5,0.8195669185185186
2012-6,0.8197531814814816
2012-7,0.8199394444444446
2012-8,0.8201257074074074
2012-9,0.8203119703703704
2012-10,0.8204982333333334
2012-11,0.8206844962962964
2012-12,0.8208707592592593
2013-1,0.8210570222222223
2013-2,0.8212032515432099
2013-3,0.8213494808641976
2013-4,0.8214957101851852
2013-5,0.8216419395061729
2013-6,0.8217881688271605
2013-7,0.8219343981481482
2013-8,0.8220806274691358
2013-9,0.8222268567901234
2013-10,0.8223730861111112
2013-11,0.8225193154320988
2013-12,0.8226655447530864
2014-1,0.822811774074074
2014-2,0.8228799113940328
2014-3,0.8229480487139917
2014-4,0.8230161860339507
2014-5,0.8230843233539095
2014-6,0.8231524606738683
2014-7,0.8232205979938272
2014-8,0.8232887353137861
2014-9,0.8233568726337449
2014-10,0.8234250099537037
2014-11,0.8234931472736626
2014-12,0.8235612845936215
2015-1,0.8236294219135804
2015-2,0.824329394972877
2015-3,0.8250293680321736
2015-4,0.8257293410914703
2015-5,0.826429314150767
2015-6,0.8271292872100637
2015-7,0.8278292602693604
2015-8,0.828529233328657
2015-9,0.8292292063879537
2015-10,0.8299291794472504
2015-11,0.830629152506547
2015-12,0.8313291255658437
2016-1,0.8320290986251404
2016-2,0.8319914402813915
2016-3,0.8319537819376426
2016-4,0.8319161235938937
2016-5,0.8318784652501446
2016-6,0.8318408069063957
2016-7,0.8318031485626468
2016-8,0.8317654902188979
2016-9,0.831727831875149
2016-10,0.8316901735314
2016-11,0.831652515187651
2016-12,0.8316148568439021
2017-1,0.8315771985001532
2017-2,0.8316194500039422
2017-3,0.8316617015077312
2017-4,0.8317039530115203
2017-5,0.8317462045153093
2017-6,0.8317884560190983
2017-7,0.8318307075228875
2017-8,0.8318729590266765
2017-9,0.8319152105304655
2017-10,0.8319574620342545
