Ano,Piauí - IDH Educacao
2008,0.6331322965131556
2009,0.6375820670489842
2010,0.641655468038093
2011,0.645346973284185
2012,0.648073688888889
2013,0.6520798296296296
2014,0.6545031487654321
2015,0.6557950778292182
2016,0.6705865222830153
2017,0.6731852970360168
2018,0.6739294149483819
2019,0.6741957253982348
2020,0.6725771549798925
2021,0.6700841690689736
2022,0.6675463662570621
