Ano,Roraima - IDH Educacao
2008,0.7336147768241561
2009,0.7348511991972733
2010,0.735694224102746
2011,0.7361386463432211
2012,0.7362485346801347
2013,0.735435912570146
2014,0.7354722386176582
2015,0.7336782585024632
2016,0.7383486313064002
2017,0.7353803250615275
2018,0.7327785364307573
2019,0.7290311306517352
2020,0.7255794152564384
2021,0.722541180279751
2022,0.7270449239415465
