,Maranhão - IDH Educacao
2003-1,0.6147660517666048
2003-2,0.6153382746116636
2003-3,0.6159104974567224
2003-4,0.6164827203017812
2003-5,0.6170549431468401
2003-6,0.6176271659918988
2003-7,0.6181993888369577
2003-8,0.6187716116820164
2003-9,0.6193438345270752
2003-10,0.6199160573721341
2003-11,0.6204882802171928
2003-12,0.6210605030622517
2004-1,0.6216327259073104
2004-2,0.6221738116977803
2004-3,0.6227148974882502
2004-4,0.62325598327872
2004-5,0.6237970690691899
2004-6,0.6243381548596597
2004-7,0.6248792406501296
2004-8,0.6254203264405994
2004-9,0.6259614122310693
2004-10,0.6265024980215391
2004-11,0.627043583812009
2004-12,0.6275846696024788
2005-1,0.6281257553929487
2005-2,0.6286353061654812
2005-3,0.6291448569380138
2005-4,0.6296544077105464
2005-5,0.630163958483079
2005-6,0.6306735092556116
2005-7,0.6311830600281442
2005-8,0.6316926108006767
2005-9,0.6322021615732093
2005-10,0.632711712345742
2005-11,0.6332212631182745
2005-12,0.6337308138908071
2006-1,0.6342403646633397
2006-2,0.6347179824545867
2006-3,0.6351956002458338
2006-4,0.6356732180370808
2006-5,0.6361508358283278
2006-6,0.6366284536195749
2006-7,0.6371060714108219
2006-8,0.6375836892020689
2006-9,0.638061306993316
2006-10,0.638538924784563
2006-11,0.63901654257581
2006-12,0.6394941603670571
2007-1,0.6399717781583041
2007-2,0.6404170650049172
2007-3,0.6408623518515304
2007-4,0.6413076386981437
2007-5,0.6417529255447568
2007-6,0.64219821239137
2007-7,0.6426434992379833
2007-8,0.6430887860845964
2007-9,0.6435340729312096
2007-10,0.6439793597778227
2007-11,0.6444246466244359
2007-12,0.6448699334710492
2008-1,0.6453152203176623
2008-2,0.6457277782562933
2008-3,0.6461403361949244
2008-4,0.6465528941335554
2008-5,0.6469654520721865
2008-6,0.6473780100108175
2008-7,0.6477905679494486
2008-8,0.6482031258880796
2008-9,0.6486156838267106
2008-10,0.6490282417653417
2008-11,0.6494407997039727
2008-12,0.6498533576426038
2009-1,0.6502659155812348
2009-2,0.6506453466485355
2009-3,0.651024777715836
2009-4,0.6514042087831367
2009-5,0.6517836398504372
2009-6,0.6521630709177378
2009-7,0.6525425019850384
2009-8,0.652921933052339
2009-9,0.6533013641196397
2009-10,0.6536807951869402
2009-11,0.6540602262542409
2009-12,0.6544396573215414
2010-1,0.6548190883888421
2010-2,0.6551649946214639
2010-3,0.6555109008540858
2010-4,0.6558568070867077
2010-5,0.6562027133193296
2010-6,0.6565486195519514
2010-7,0.6568945257845733
2010-8,0.6572404320171952
2010-9,0.657586338249817
2010-10,0.6579322444824389
2010-11,0.6582781507150608
2010-12,0.6586240569476827
2011-1,0.6589699631803045
2011-2,0.6592483482912612
2011-3,0.6595267334022179
2011-4,0.6598051185131746
2011-5,0.6600835036241312
2011-6,0.6603618887350878
2011-7,0.6606402738460445
2011-8,0.6609186589570012
2011-9,0.6611970440679579
2011-10,0.6614754291789144
2011-11,0.6617538142898711
2011-12,0.6620321994008278
2012-1,0.6623105845117845
2012-2,0.6626669080153386
2012-3,0.6630232315188926
2012-4,0.6633795550224467
2012-5,0.6637358785260008
2012-6,0.6640922020295549
2012-7,0.664448525533109
2012-8,0.6648048490366629
2012-9,0.665161172540217
2012-10,0.6655174960437711
2012-11,0.6658738195473252
2012-12,0.6662301430508792
2013-1,0.6665864665544333
2013-2,0.666778039238839
2013-3,0.6669696119232449
2013-4,0.6671611846076506
2013-5,0.6673527572920565
2013-6,0.6675443299764622
2013-7,0.667735902660868
2013-8,0.6679274753452737
2013-9,0.6681190480296795
2013-10,0.6683106207140853
2013-11,0.668502193398491
2013-12,0.6686937660828969
2014-1,0.6688853387673026
2014-2,0.6690928758420756
2014-3,0.6693004129168485
2014-4,0.6695079499916214
2014-5,0.6697154870663944
2014-6,0.6699230241411673
2014-7,0.6701305612159403
2014-8,0.6703380982907132
2014-9,0.6705456353654862
2014-10,0.6707531724402591
2014-11,0.6709607095150321
2014-12,0.671168246589805
2015-1,0.671375783664578
2015-2,0.6728002120978184
2015-3,0.6742246405310589
2015-4,0.6756490689642993
2015-5,0.6770734973975399
2015-6,0.6784979258307803
2015-7,0.6799223542640207
2015-8,0.6813467826972612
2015-9,0.6827712111305017
2015-10,0.6841956395637422
2015-11,0.6856200679969826
