Ano,Goiás - IDH Educacao
2008,0.726402007103699
2009,0.7299716021289877
2010,0.7333840756898583
2011,0.7366303776607905
2012,0.7394088835016834
2013,0.7428596237934905
2014,0.7455979257762814
2015,0.7474810862576381
2016,0.7586679563026449
2017,0.7590923159665217
2018,0.76055525378166
2019,0.7608784586709018
2020,0.7600492276409838
2021,0.7573264301538006
2022,0.7554470147132369
