,Tocantins - IDH Educacao
2003-1,0.6746331016666889
2003-2,0.6751354191589783
2003-3,0.6756377366512678
2003-4,0.6761400541435573
2003-5,0.6766423716358467
2003-6,0.6771446891281362
2003-7,0.6776470066204257
2003-8,0.6781493241127151
2003-9,0.6786516416050046
2003-10,0.679153959097294
2003-11,0.6796562765895835
2003-12,0.680158594081873
2004-1,0.6806609115741624
2004-2,0.6811271964485838
2004-3,0.6815934813230051
2004-4,0.6820597661974265
2004-5,0.6825260510718478
2004-6,0.6829923359462692
2004-7,0.6834586208206905
2004-8,0.683924905695112
2004-9,0.6843911905695333
2004-10,0.6848574754439547
2004-11,0.685323760318376
2004-12,0.6857900451927974
2005-1,0.6862563300672188
2005-2,0.6866858784443699
2005-3,0.6871154268215209
2005-4,0.687544975198672
2005-5,0.6879745235758231
2005-6,0.6884040719529743
2005-7,0.6888336203301253
2005-8,0.6892631687072763
2005-9,0.6896927170844275
2005-10,0.6901222654615786
2005-11,0.6905518138387297
2005-12,0.6909813622158807
2006-1,0.6914109105930318
2006-2,0.6918030185935105
2006-3,0.6921951265939891
2006-4,0.6925872345944677
2006-5,0.6929793425949463
2006-6,0.6933714505954249
2006-7,0.6937635585959037
2006-8,0.6941556665963823
2006-9,0.6945477745968609
2006-10,0.6949398825973395
2006-11,0.6953319905978181
2006-12,0.6957240985982968
2007-1,0.6961162065987754
2007-2,0.6964701703431794
2007-3,0.6968241340875834
2007-4,0.6971780978319874
2007-5,0.6975320615763914
2007-6,0.6978860253207954
2007-7,0.6982399890651994
2007-8,0.6985939528096032
2007-9,0.6989479165540072
2007-10,0.6993018802984112
2007-11,0.6996558440428152
2007-12,0.7000098077872192
2008-1,0.7003637715316232
2008-2,0.7006788871405504
2008-3,0.7009940027494774
2008-4,0.7013091183584046
2008-5,0.7016242339673318
2008-6,0.7019393495762589
2008-7,0.7022544651851861
2008-8,0.7025695807941131
2008-9,0.7028846964030403
2008-10,0.7031998120119675
2008-11,0.7035149276208945
2008-12,0.7038300432298217
2009-1,0.7041451588387488
2009-2,0.704420722432797
2009-3,0.7046962860268451
2009-4,0.7049718496208932
2009-5,0.7052474132149412
2009-6,0.7055229768089893
2009-7,0.7057985404030375
2009-8,0.7060741039970856
2009-9,0.7063496675911337
2009-10,0.7066252311851817
2009-11,0.7069007947792298
2009-12,0.707176358373278
2010-1,0.7074519219673261
2010-2,0.707687229667093
2010-3,0.7079225373668598
2010-4,0.7081578450666267
2010-5,0.7083931527663936
2010-6,0.7086284604661605
2010-7,0.7088637681659273
2010-8,0.7090990758656942
2010-9,0.7093343835654611
2010-10,0.709569691265228
2010-11,0.7098049989649948
2010-12,0.7100403066647617
2011-1,0.7102756143645286
2011-2,0.7104074756815137
2011-3,0.7105393369984988
2011-4,0.710671198315484
2011-5,0.710803059632469
2011-6,0.7109349209494542
2011-7,0.7110667822664394
2011-8,0.7111986435834244
2011-9,0.7113305049004096
2011-10,0.7114623662173947
2011-11,0.7115942275343798
2011-12,0.7117260888513649
2012-1,0.7118579501683501
2012-2,0.7121069637111859
2012-3,0.7123559772540217
2012-4,0.7126049907968575
2012-5,0.7128540043396931
2012-6,0.713103017882529
2012-7,0.7133520314253647
2012-8,0.7136010449682005
2012-9,0.7138500585110363
2012-10,0.714099072053872
2012-11,0.7143480855967078
2012-12,0.7145970991395436
2013-1,0.7148461126823794
2013-2,0.7150117106871181
2013-3,0.7151773086918569
2013-4,0.7153429066965956
2013-5,0.7155085047013344
2013-6,0.7156741027060731
2013-7,0.7158397007108119
2013-8,0.7160052987155506
2013-9,0.7161708967202893
2013-10,0.7163364947250281
2013-11,0.7165020927297668
2013-12,0.7166676907345056
2014-1,0.7168332887392443
2014-2,0.7167487976888224
2014-3,0.7166643066384005
2014-4,0.7165798155879786
2014-5,0.7164953245375567
2014-6,0.7164108334871347
2014-7,0.7163263424367128
2014-8,0.7162418513862909
2014-9,0.716157360335869
2014-10,0.7160728692854471
2014-11,0.7159883782350251
2014-12,0.7159038871846033
2015-1,0.7158193961341813
2015-2,0.7169735127269704
2015-3,0.7181276293197595
2015-4,0.7192817459125486
2015-5,0.7204358625053376
2015-6,0.7215899790981267
2015-7,0.7227440956909159
2015-8,0.723898212283705
2015-9,0.7250523288764941
2015-10,0.7262064454692831
2015-11,0.7273605620620722
2015-12,0.7285146786548613
2016-1,0.7296687952476504
2016-2,0.729719316423769
2016-3,0.7297698375998876
2016-4,0.729820358776006
2016-5,0.7298708799521246
2016-6,0.7299214011282432
2016-7,0.7299719223043617
2016-8,0.7300224434804803
2016-9,0.7300729646565989
2016-10,0.7301234858327175
2016-11,0.7301740070088361
2016-12,0.7302245281849545
2017-1,0.7302750493610731
2017-2,0.7302847088259298
2017-3,0.7302943682907863
2017-4,0.730304027755643
2017-5,0.7303136872204996
2017-6,0.7303233466853563
2017-7,0.7303330061502129
2017-8,0.7303426656150694
2017-9,0.7303523250799261
2017-10,0.7303619845447827
2017-11,0.7303716440096393
2017-12,0.7303813034744959
2018-1,0.7303909629393526
2018-2,0.7303105914464689
2018-3,0.7302302199535852
2018-4,0.7301498484607015
2018-5,0.7300694769678178
2018-6,0.7299891054749341
2018-7,0.7299087339820505
2018-8,0.7298283624891667
2018-9,0.7297479909962831
2018-10,0.7296676195033993
2018-11,0.7295872480105157
2018-12,0.7295068765176319
2019-1,0.7294265050247483
2019-2,0.729293372487057
2019-3,0.7291602399493656
2019-4,0.7290271074116743
2019-5,0.728893974873983
2019-6,0.7287608423362917
2019-7,0.7286277097986005
2019-8,0.7284945772609092
2019-9,0.7283614447232178
2019-10,0.7282283121855265
2019-11,0.7280951796478352
2019-12,0.7279620471101439
2020-1,0.7278289145724526
2020-2,0.7275624669555772
2020-3,0.7272960193387019
2020-4,0.7270295717218266
2020-5,0.7267631241049513
2020-6,0.7264966764880759
2020-7,0.7262302288712006
2020-8,0.7259637812543251
2020-9,0.7256973336374498
2020-10,0.7254308860205745
2020-11,0.7251644384036992
2020-12,0.7248979907868238
2021-1,0.7246315431699485
2021-2,0.7245757215272965
2021-3,0.7245198998846447
2021-4,0.7244640782419928
2021-5,0.7244082565993408
2021-6,0.724352434956689
2021-7,0.724296613314037
2021-8,0.7242407916713851
2021-9,0.7241849700287333
2021-10,0.7241291483860813
2021-11,0.7240733267434294
2021-12,0.7240175051007776
2022-1,0.7239616834581256
